ticker,ONE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-28,-1.8182
2018-03-29,-0.463
2018-04-02,0.093
2018-04-03,1.3941
2018-04-04,-5.1329
2018-04-05,-0.4831
2018-04-06,3.4951
2018-04-09,2.439
2018-04-10,0.0916
2018-04-11,-0.0915
2018-04-12,-0.8242
2018-04-13,-0.7387
2018-04-16,0.3721
2018-04-17,-0.7414
2018-04-18,-0.0934
2018-04-19,0.4673
2018-04-20,-0.186
2018-04-23,-0.2796
2018-04-24,-0.5607
2018-04-25,-0.188
2018-04-26,0.1883
2018-04-27,3.4774
2018-04-30,-10.8992
2018-05-01,11.213
2018-05-02,0.3666
2018-05-03,-1.3699
2018-05-04,0.1852
2018-05-07,1.2015
2018-05-08,-0.274
2018-05-09,0.2747
2018-05-10,-0.9132
2018-05-11,-2.0276
2018-05-14,-2.2578
2018-05-15,1.4437
2018-05-16,1.6129
2018-05-17,-2.1475
2018-05-18,2.5763
2018-05-21,2.7907
2018-05-22,9.0498
2018-05-23,11.7842
2018-05-24,0.0
2018-05-25,-0.6682
2018-05-29,2.0927
2018-05-30,11.4202
2018-05-31,-2.6938
2018-06-01,6.5496
2018-06-04,-4.4994
2018-06-05,-6.503
2018-06-06,0.7097
2018-06-07,-2.9598
2018-06-08,3.7037
2018-06-11,-2.3810000000000002
2018-06-12,3.2281
2018-06-13,-1.6678
2018-06-14,-3.0389
2018-06-15,-1.3848
2018-06-18,-3.6955
2018-06-19,-3.6837999999999997
2018-06-20,2.4701
2018-06-21,-2.0218
2018-06-22,-2.2222
2018-06-25,-5.1136
2018-06-26,-0.8554
2018-06-27,-5.2632
2018-06-28,1.5483
2018-06-29,-0.4484
2018-07-02,9.7297
2018-07-03,-1.0673
2018-07-05,-0.7469
2018-07-06,-1.087
2018-07-09,0.3381
2018-07-10,-2.6959
2018-07-11,-1.039
2018-07-12,4.7244
2018-07-13,-1.086
2018-07-16,-0.9291
2018-07-17,-1.9607999999999999
2018-07-18,-0.2609
2018-07-19,-2.0052
2018-07-20,0.0
2018-07-23,0.4448
2018-07-24,-1.6829
2018-07-25,-1.8018
2018-07-26,-2.844
2018-07-27,1.0387
2018-07-30,-5.7009
2018-07-31,-1.8831
2018-08-01,2.2222
2018-08-02,2.9644
2018-08-03,-0.7678
2018-08-06,2.4178
2018-08-07,-0.2833
2018-08-08,1.5152
2018-08-09,-0.9328
2018-08-10,-2.354
2018-08-13,1.6393
2018-08-14,-7.4953
2018-08-15,-6.8718
