ticker,EPXY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-30,-53.3333
2008-08-04,14.2857
2008-08-25,50.0
2008-09-19,-8.3333
2008-09-24,18.1818
2008-09-25,-7.6923
2008-10-01,-8.3333
2008-10-02,0.0
2008-10-03,9.0909
2008-10-06,-8.3333
2008-10-07,-5.4545
2008-10-08,5.7692
2008-10-09,-3.6364
2008-10-10,-1.8868
2008-10-13,-13.461500000000001
2008-10-14,-4.4444
2008-10-15,-11.657
2008-10-16,-18.3942
2008-10-17,20.9677
2008-10-20,17.3333
2008-10-21,-6.8182
2008-10-22,-2.439
2008-10-23,-2.5
2008-10-24,-12.8205
2008-10-27,0.0
2008-10-28,2.9412000000000003
2008-10-29,-2.8571
2008-10-31,0.0
2008-11-03,0.0
2008-11-04,0.0
2008-11-05,0.0
2008-11-06,-5.8824
2008-11-07,-21.875
2008-11-10,0.0
2008-11-12,0.0
2008-11-13,8.0
2008-11-14,-22.2222
2008-11-19,0.0
2008-11-20,33.3333
2008-11-21,-35.7143
2008-11-24,100.0
2008-11-25,-16.6667
2008-11-26,-13.3333
2008-11-28,0.0
2008-12-01,11.538499999999999
2008-12-02,-10.3448
2008-12-03,11.538499999999999
2008-12-04,-3.4483
2008-12-05,3.5714
2008-12-08,-6.8966
2008-12-09,7.4074
2008-12-10,0.0
2008-12-11,-6.8966
2008-12-12,11.1111
2008-12-15,-3.3333
2008-12-16,3.4483
2008-12-17,-6.6667
2008-12-19,-7.1429
2008-12-22,0.0
2008-12-23,-3.8462
2008-12-24,0.0
2008-12-26,6.0
2008-12-29,-13.2075
2008-12-31,4.3478
2009-01-02,0.0
2009-01-05,0.0
2009-01-07,3.3333
2009-01-08,0.0
2009-01-09,0.0
2009-01-12,-15.3226
2009-01-13,4.7619
2009-01-14,0.0
2009-01-15,20.4545
2009-01-20,0.0
2009-01-21,-16.9811
2009-01-22,9.0909
2009-01-23,-8.3333
2009-01-26,9.0909
2009-01-27,0.0
2009-01-28,0.0
2009-01-29,4.1667
2009-02-02,-14.0
2009-02-03,16.2791
2009-02-05,-20.0
2009-02-06,25.0
2009-02-09,-20.0
2009-02-10,20.0
2009-02-11,15.8333
2009-02-12,0.7194
2009-02-13,0.0
2009-02-17,7.1429
2009-02-18,-10.0
2009-02-19,7.4074
2009-02-20,-8.6207
2009-02-23,0.0
2009-02-24,-16.9811
2009-02-25,18.1818
2009-02-26,11.538499999999999
2009-02-27,-3.4483
2009-03-02,-5.3571
2009-03-03,-5.6604
