ticker,AMTB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-30,16.6667
2018-08-31,34.1429
2018-09-04,517.9979
2018-09-05,-56.488
2018-09-06,-19.802
2018-09-07,-26.0642
2018-09-10,0.187
2018-09-11,0.0
2018-09-12,-14.6667
2018-09-13,16.4063
2018-09-14,-2.2819
2018-09-17,-3.2308
2018-09-18,-2.4103
2018-09-19,-1.8182
2018-09-20,-11.1111
2018-09-21,8.3333
2018-09-24,-7.3846
2018-09-25,6.7276
2018-09-26,0.7782
2018-09-27,-4.1699
2018-09-28,-1.2893
2018-10-01,-2.8571
2018-10-02,2.9412000000000003
2018-10-03,-7.7551
2018-10-04,0.4425
2018-10-05,-0.4405
2018-10-08,-0.4425
2018-10-09,0.8889
2018-10-10,-5.2863
2018-10-11,-6.9767
2018-10-12,0.0
2018-10-15,0.0
2018-10-16,0.0
2018-10-17,-12.5
2018-10-18,14.2857
2018-10-19,-12.49
2018-10-24,13.1299
2018-10-25,-8.7542
2018-10-26,-7.7491
2018-10-29,-2.48
2018-10-30,-13.8638
2018-10-31,1.8571
2018-11-01,-8.7892
2018-11-02,7.2271
2018-11-05,0.3824
2018-11-06,-3.1429
2018-11-07,-15.4376
2018-11-08,10.4651
2018-11-13,-10.526299999999999
2018-11-14,-0.7059
2018-11-15,-0.7701
2018-11-19,-4.4776
2018-11-21,-0.4294
2018-11-23,-4.1503
2018-11-26,-15.5212
2018-11-27,15.0388
2018-11-28,12.6685
2018-11-29,-2.9306
2018-11-30,-1.4171
2018-12-03,0.0
2018-12-04,-5.625
2018-12-06,-7.2848
2018-12-07,0.3264
2018-12-10,2.9667
2018-12-11,-0.8463
2018-12-12,-9.0656
2018-12-14,-9.8926
2018-12-17,-9.3617
2018-12-18,12.6761
2018-12-19,8.3333
2018-12-20,0.0
2018-12-21,3.4615
2018-12-24,-2.2372
2018-12-26,-1.1339
2018-12-27,0.9615
2018-12-28,-0.8762
2018-12-31,0.0
2019-01-02,2.4981
2019-01-03,-2.5122
2019-01-04,1.6154
2019-01-07,-0.8327
2019-01-08,0.6107
2019-01-09,5.9939
2019-01-10,-2.0043
2019-01-11,2.1914
2019-01-14,-0.3574
2019-01-15,-3.1564
2019-01-16,-2.2222
2019-01-17,0.3788
2019-01-18,1.8868
2019-01-22,0.5926
2019-01-23,-0.2209
2019-01-24,-1.107
2019-01-25,0.5224
2019-01-28,-1.6333
2019-01-29,1.7358
2019-01-30,3.7834
2019-01-31,-0.6076
2019-02-01,0.3236
