ticker,ALLO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-11,38.8889
2018-10-12,7.24
2018-10-15,0.5595
2018-10-16,-4.043
2018-10-17,-3.4403
2018-10-18,-4.7238
2018-10-19,-1.6806999999999999
2018-10-22,-1.7094
2018-10-23,-0.6957
2018-10-24,-1.4886
2018-10-25,0.2667
2018-10-26,1.9504000000000001
2018-10-29,0.087
2018-10-30,3.4318
2018-10-31,0.84
2018-11-01,12.2449
2018-11-02,2.7458
2018-11-05,2.3835
2018-11-06,17.4603
2018-11-07,-1.8618999999999999
2018-11-08,1.7136
2018-11-09,-7.8821
2018-11-12,-11.757
2018-11-13,2.5167
2018-11-14,-9.7292
2018-11-15,7.6985
2018-11-16,3.899
2018-11-19,-5.1823
2018-11-20,-3.7316000000000003
2018-11-21,0.1958
2018-11-23,3.6342
2018-11-26,4.2986
2018-11-27,2.6391999999999998
2018-11-28,7.4322
2018-11-29,1.7377
2018-11-30,0.8057
2018-12-03,1.3107
2018-12-04,-3.9129
2018-12-06,-11.1166
2018-12-07,-2.9004
2018-12-10,0.9132
2018-12-11,-1.9985
2018-12-12,0.8465
2018-12-13,-0.2671
2018-12-14,0.306
2018-12-17,-3.0511
2018-12-18,1.0622
2018-12-19,-0.4671
2018-12-20,-3.3242
2018-12-21,-2.3463
2018-12-24,-0.0829
2018-12-26,5.0166
2018-12-27,-2.2503
2018-12-28,4.6042
2018-12-31,3.9768
2019-01-02,2.3394
2019-01-03,-5.6604
2019-01-04,1.8077
2019-01-07,3.4756
2019-01-08,-1.2048
2019-01-09,0.9978
2019-01-10,2.8174
2019-01-11,5.0178
2019-01-14,-3.5581
2019-01-15,-1.792
2019-01-16,3.0054
2019-01-17,-2.0841
2019-01-18,1.3835
2019-01-22,-2.7992
2019-01-23,0.108
2019-01-24,3.0205
2019-01-25,3.1065
2019-01-28,-0.0677
2019-01-29,1.1518
2019-01-30,1.4735
2019-01-31,0.099
2019-02-01,1.4506999999999999
2019-02-04,2.6324
2019-02-05,-1.8366
2019-02-06,-0.5161
2019-02-07,-2.3022
2019-02-08,-0.0332
2019-02-11,0.498
2019-02-12,4.0634
2019-02-13,1.3968
2019-02-14,-2.5047
2019-02-15,0.3211
2019-02-19,2.0166
2019-02-20,-3.7025
2019-02-21,-0.0326
2019-02-22,1.2711999999999999
2019-02-25,2.1242
2019-02-26,0.1261
2019-02-27,2.4237
2019-02-28,-2.6122
2019-03-01,-1.1044
2019-03-04,1.9144999999999999
2019-03-05,-1.315
