ticker,SILK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-04,80.9
2019-04-05,-1.0503
2019-04-08,-2.2626
2019-04-09,5.7445
2019-04-10,0.1081
2019-04-11,-1.0259
2019-04-12,-3.1915
2019-04-15,-3.7475
2019-04-16,-1.9321000000000002
2019-04-17,-2.9851
2019-04-18,4.5846
2019-04-22,2.9715
2019-04-23,1.2857
2019-04-24,1.7772000000000001
2019-04-25,4.7672
2019-04-26,5.8466000000000005
2019-04-29,-0.2
2019-04-30,4.2825
2019-05-01,-2.2815
2019-05-02,-3.9322
2019-05-03,-2.507
2019-05-06,3.5161
2019-05-07,1.6477
2019-05-08,2.2444
2019-05-09,-0.4146
2019-05-10,9.5273
2019-05-13,3.5778
2019-05-14,0.7556
2019-05-15,2.8498
2019-05-16,-0.3333
2019-05-17,-2.5293
2019-05-20,-0.193
2019-05-21,4.2329
2019-05-22,0.0412
2019-05-23,-6.8205
2019-05-24,-0.3538
2019-05-28,-0.466
2019-05-29,1.1371
2019-05-30,0.5291
2019-05-31,-6.4474
2019-06-03,-0.4454
2019-06-04,1.0831
2019-06-05,7.5006
2019-06-06,-3.0553
2019-06-07,-0.4247
2019-06-10,10.0112
2019-06-11,-6.1212
2019-06-12,-1.8692
2019-06-13,1.0188
2019-06-14,-1.3594
2019-06-17,7.0682
2019-06-18,0.2906
2019-06-19,1.6766999999999999
2019-06-20,-0.9568
2019-06-21,-2.6721
2019-06-24,-0.4224
2019-06-25,-3.0753
2019-06-26,0.2188
2019-06-27,1.5502
2019-06-28,4.1926
2019-07-01,-3.1366
2019-07-02,-4.2821
2019-07-03,-0.9348
2019-07-05,1.0335
2019-07-08,-5.4926
2019-07-09,-0.9412
2019-07-10,0.1188
2019-07-11,-2.847
2019-07-12,-1.3919000000000001
2019-07-15,0.0743
2019-07-16,1.0393
2019-07-17,0.7348
2019-07-18,0.5106
2019-07-19,0.8708
2019-07-22,-0.3837
2019-07-23,1.3481
2019-07-24,-0.3563
2019-07-25,-0.0954
2019-07-26,0.4534
2019-07-29,5.7007
2019-07-30,-7.8427
2019-07-31,5.5596
2019-08-01,-1.0164
2019-08-02,-4.3874
2019-08-05,-3.9541
2019-08-06,-4.1931
2019-08-07,-5.6764
2019-08-08,13.6952
2019-08-09,-0.1731
2019-08-12,-1.2884
2019-08-13,0.4267
2019-08-14,-0.6998
2019-08-15,0.6796
2019-08-16,1.325
2019-08-19,0.5181
2019-08-20,-0.0491
2019-08-21,3.7083
2019-08-22,-1.184
