ticker,NXTD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-20,73.0769
2013-08-21,42.2222
2013-08-22,-3.125
2013-08-23,0.0
2013-08-26,1.6129
2013-08-27,-1.5873
2013-08-28,0.0
2013-08-29,4.8387
2013-08-30,0.0
2013-09-03,-9.2308
2013-09-04,1.6949
2013-09-05,-8.3333
2013-09-06,9.0909
2013-09-09,3.0
2013-09-10,1.6181
2013-09-11,-2.8662
2013-09-12,1.6393
2013-09-13,-3.5484
2013-09-16,3.6789
2013-09-17,-0.3226
2013-09-18,0.9709
2013-09-19,8.6538
2013-09-20,9.1445
2013-09-23,-4.0541
2013-09-24,1.4085
2013-09-25,-1.3889
2013-09-26,4.2254
2013-09-27,-0.2703
2013-09-30,1.626
2013-10-02,-2.6667
2013-10-03,0.8219
2013-10-04,3.2609
2013-10-07,0.5263
2013-10-08,0.0
2013-10-09,0.0
2013-10-10,1.3089
2013-10-11,4.6512
2013-10-14,4.9383
2013-10-15,4.9412
2013-10-16,12.3318
2013-10-17,19.5609
2013-10-18,-8.3472
2013-10-21,8.1967
2013-10-22,-4.8822
2013-10-23,-10.6195
2013-10-24,3.9604
2013-10-25,-4.7619
2013-10-28,-31.0
2013-10-29,1.4493
2013-10-30,14.2857
2013-10-31,-10.0
2013-11-01,15.2778
2013-11-04,-2.4096
2013-11-05,-1.4815
2013-11-06,1.2530999999999999
2013-11-07,-0.9901
2013-11-08,-1.0
2013-11-11,-12.8788
2013-11-12,-2.8986
2013-11-13,7.1642
2013-11-14,-0.2786
2013-11-15,6.1453
2013-11-18,-0.2632
2013-11-19,-0.2639
2013-11-20,3.9683
2013-11-21,0.2545
2013-11-22,-0.5076
2013-11-25,2.0408
2013-11-26,-0.5
2013-11-27,0.2513
2013-11-29,-2.2556
2013-12-02,3.0769
2013-12-03,0.4975
2013-12-04,-0.7426
2013-12-05,-2.7431
2013-12-06,-1.2821
2013-12-09,5.1948
2013-12-10,8.1481
2013-12-11,7.3059
2013-12-12,6.383
2013-12-13,12.0
2013-12-16,5.0
2013-12-17,-4.7619
2013-12-18,-8.9286
2013-12-19,-20.5882
2013-12-20,6.4198
2013-12-23,1.8561
2013-12-24,0.2278
2013-12-26,-4.5455
2013-12-27,-1.1905000000000001
2013-12-30,-1.2048
2013-12-31,-2.439
2014-01-02,7.0
2014-01-03,-5.1402
2014-01-06,-1.4778
2014-01-07,0.0
2014-01-08,12.5
2014-01-09,3.3333
2014-01-10,-1.2903
2014-01-13,-7.1895
