ticker,STCN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,17.9007
2000-01-04,-10.0134
2000-01-05,-3.6596
2000-01-06,-11.5724
2000-01-07,9.8901
2000-01-10,11.4545
2000-01-11,-10.6036
2000-01-12,-10.219
2000-01-13,5.4878
2000-01-14,-6.0212
2000-01-18,-4.6129999999999995
2000-01-19,5.2123
2000-01-20,-1.4811
2000-01-21,-1.9181
2000-01-24,-6.4482
2000-01-25,3.4463
2000-01-26,-3.0038
2000-01-27,1.1261
2000-01-28,-6.0134
2000-01-31,6.6943
2000-02-01,2.5541
2000-02-02,3.5192
2000-02-03,4.1841
2000-02-04,-4.7691
2000-02-07,1.1597
2000-02-08,4.5336
2000-02-09,-3.8883
2000-02-10,-2.2303
2000-02-11,-4.8806
2000-02-14,3.0675
2000-02-15,-0.1218
2000-02-16,-4.104
2000-02-17,1.6949
2000-02-18,-3.6667
2000-02-22,-3.3449
2000-02-23,14.7375
2000-02-24,-0.676
2000-02-25,-1.5707
2000-02-28,-0.9574
2000-02-29,11.3319
2000-03-01,-1.4472
2000-03-02,-2.8879
2000-03-03,8.1149
2000-03-06,9.6503
2000-03-07,-4.7619
2000-03-08,-1.0714
2000-03-09,4.9639
2000-03-10,-6.1479
2000-03-13,-3.0692
2000-03-14,-6.3327
2000-03-15,-2.0182
2000-03-16,2.3172
2000-03-17,-3.07
2000-03-20,-5.0883
2000-03-21,8.5339
2000-03-22,2.2177
2000-03-23,-3.7845
2000-03-24,-0.5253
2000-03-27,-4.1731
2000-03-28,-1.6667
2000-03-29,-2.187
2000-03-30,-1.9564
2000-03-31,3.3637
2000-04-03,-11.7485
2000-04-04,-11.0
2000-04-05,-4.073
2000-04-06,4.1728
2000-04-07,5.4111
2000-04-10,-10.4667
2000-04-11,-5.659
2000-04-12,-11.0497
2000-04-13,-5.945
2000-04-14,-21.4151
2000-04-17,24.8499
2000-04-18,1.3462
2000-04-19,-8.2543
2000-04-20,-4.5502
2000-04-24,-8.9924
2000-04-25,17.9762
2000-04-26,-6.3572
2000-04-27,14.1164
2000-04-28,7.6487
2000-05-01,-2.4561
2000-05-02,-10.2518
2000-05-03,-0.501
2000-05-04,1.6113
2000-05-05,3.4688
2000-05-08,-6.4176
2000-05-09,-7.2671
2000-05-10,-5.7395
2000-05-11,4.2155
2000-05-12,-0.7865
2000-05-15,9.06
2000-05-16,7.1651
2000-05-17,-6.8798
2000-05-18,-6.5557
2000-05-19,-5.3452
2000-05-22,5.1765
