ticker,AMTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-05,28.4286
2020-06-08,5.6174
2020-06-09,7.8989
2020-06-10,24.3533
2020-06-11,-5.6515
2020-06-12,6.9884
2020-06-15,5.6765
2020-06-16,2.0235
2020-06-17,0.9016
2020-06-18,-3.5025
2020-06-19,-0.037
2020-06-22,1.3338
2020-06-23,-9.1042
2020-06-24,10.6999
2020-06-25,1.7442
2020-06-26,-6.6071
2020-06-29,-1.3384
2020-06-30,-2.5581
2020-07-01,2.3071
2020-07-02,4.9767
2020-07-06,-1.5556
2020-07-07,-5.9443
2020-07-08,-10.12
2020-07-09,-1.6021
2020-07-10,1.1759
2020-07-13,-4.4703
2020-07-14,-3.416
2020-07-15,-0.5814
2020-07-16,2.3392
2020-07-17,-0.0476
2020-07-20,-2.3821
2020-07-21,4.8316
2020-07-22,0.0931
2020-07-23,0.3721
2020-07-24,-1.0658
2020-07-27,0.1874
2020-07-28,-1.1688
2020-07-29,-1.0407
2020-07-30,9.7514
2020-07-31,-3.1794000000000002
