ticker,BORNY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-11,0.0
2010-06-14,-6.8571
2010-06-15,0.4601
2010-06-16,-5.3435
2010-06-17,-1.9677
2010-06-18,2.0072
2010-06-21,2.5806
2010-06-22,-0.9434
2010-06-23,0.1587
2010-06-24,-0.9509
2010-06-25,-0.32
2010-06-28,4.3339
2010-06-29,-7.6923
2010-06-30,-2.5
2010-07-01,-1.8803
2010-07-02,-2.7875
2010-07-06,-4.8387
2010-07-07,4.8964
2010-07-08,0.0
2010-07-09,1.4363000000000001
2010-07-12,-1.7699
2010-07-13,-0.9009
2010-07-14,-1.8182
2010-07-15,-2.037
2010-07-16,-6.8053
2010-07-19,1.4199
2010-07-20,6.0
2010-07-21,-1.6981000000000002
2010-07-22,6.1396
2010-07-23,-0.5402
2010-07-26,6.5455
2010-07-27,-0.5119
2010-07-28,-1.8868
2010-07-29,4.3706
2010-07-30,3.6851000000000003
2010-08-02,5.3312
2010-08-03,7.0552
2010-08-04,0.1576
2010-08-05,0.8439
2010-08-06,-2.695
2010-08-09,5.8309
2010-08-10,3.0303
2010-08-11,-4.8128
2010-08-12,11.3764
2010-08-13,7.6923
2010-08-16,-2.9274
2010-08-17,1.3269
2010-08-18,11.6667
2010-08-19,-2.6652
2010-08-20,1.2048
2010-08-23,-6.1688
2010-08-24,-3.4602
2010-08-25,-2.7479
2010-08-26,-3.5627
2010-08-27,5.6051
2010-08-30,-2.1713
2010-08-31,0.1233
2010-09-01,3.202
2010-09-02,18.2578
2010-09-03,0.1009
2010-09-07,-7.0565
2010-09-08,5.6399
2010-09-09,-0.924
2010-09-10,8.8083
2010-09-13,-1.5238
2010-09-14,-4.0619
2010-09-15,-14.1129
2010-09-16,-2.6995
2010-09-17,1.9300000000000002
2010-09-20,-10.1775
2010-09-21,15.7444
2010-09-22,-4.4963
2010-09-23,0.3576
2010-09-24,4.3943
2010-09-27,9.8976
2010-09-28,0.5176
2010-09-29,5.1493
2010-09-30,13.6141
2010-10-01,-4.569
2010-10-04,-5.7814
2010-10-05,6.232
2010-10-06,1.2635
2010-10-07,17.2014
2010-10-08,22.2814
2010-10-11,2.8607
2010-10-12,4.5949
2010-10-13,3.4104
2010-10-14,8.4405
2010-10-15,-4.3814
2010-10-18,-2.0485
2010-10-19,-0.3853
2010-10-20,3.8674
2010-10-21,-25.266
2010-10-22,11.1744
2010-10-25,9.475
2010-10-26,-6.4912
2010-10-27,-4.1276
2010-10-28,3.0659
2010-10-29,-7.4051
