ticker,MSRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-10,-2.7273
2015-04-13,7.4766
2015-04-14,-0.8696
2015-04-15,1.7544
2015-04-16,13.7931
2015-04-17,18.9394
2015-04-20,53.5032
2015-04-21,7.4689
2015-04-22,-29.3436
2015-04-23,-5.4645
2015-04-24,-20.8092
2015-04-27,13.1387
2015-04-28,-1.9355
2015-04-29,-16.447400000000002
2015-04-30,-0.7874
2015-05-01,4.7619
2015-05-04,1.5152
2015-05-05,8.9552
2015-05-06,3.4247
2015-05-07,-7.947
2015-05-08,0.7194
2015-05-11,0.0
2015-05-12,-2.1429
2015-05-13,-2.1898
2015-05-14,2.9851
2015-05-15,-0.7246
2015-05-18,2.1898
2015-05-19,0.0
2015-05-20,-0.7143
2015-05-21,0.7194
2015-05-22,-2.8571
2015-05-26,-4.4118
2015-05-27,0.0
2015-05-28,-0.7692
2015-05-29,-6.2016
2015-06-01,-4.9587
2015-06-02,17.3913
2015-06-03,-0.7407
2015-06-04,0.0
2015-06-05,-1.4925
2015-06-08,-4.5455
2015-06-09,3.9683
2015-06-10,-2.2901
2015-06-11,0.0
2015-06-12,5.4688
2015-06-15,-2.963
2015-06-16,1.5267
2015-06-17,-1.5038
2015-06-18,3.0534
2015-06-19,-0.7407
2015-06-22,-0.7463
2015-06-23,-1.5038
2015-06-24,0.0
2015-06-25,3.0534
2015-06-26,1.4815
2015-06-29,-2.9106
2015-06-30,-0.7612
2015-07-01,-0.7576
2015-07-02,-2.2901
2015-07-06,0.7813
2015-07-07,-0.7752
2015-07-08,-0.7813
2015-07-09,4.7244
2015-07-10,1.5038
2015-07-13,-8.1481
2015-07-14,3.2258
2015-07-15,1.5625
2015-07-16,-8.461500000000001
2015-07-17,0.0
2015-07-20,-4.1912
2015-07-21,3.4974
2015-07-22,-8.4746
2015-07-23,0.0
2015-07-24,5.5556
2015-07-27,-14.0351
2015-07-28,-12.2449
2015-07-29,-2.3256
2015-07-30,7.1429
2015-07-31,27.7778
2015-08-03,-12.1739
2015-08-04,-1.9802
2015-08-05,3.0303
2015-08-06,9.8039
2015-08-07,0.0
2015-08-10,0.8929
2015-08-11,-2.6549
2015-08-12,0.0
2015-08-13,-1.8182
2015-08-14,0.9259
2015-08-17,0.9174
2015-08-18,-0.9091
2015-08-19,-0.9174
2015-08-20,0.0
2015-08-21,0.0
2015-08-24,-1.8519
2015-08-25,1.8868
2015-08-26,6.4815
2015-08-27,-1.7391
2015-08-28,3.5398
