ticker,BBME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-04,-0.2005
2006-08-08,1.0738
2006-12-27,3.5857
2006-12-28,0.0
2007-01-19,2.5641
2007-06-06,-5.0
2007-06-18,0.0
2007-08-02,-5.2632
2007-11-08,2.9167
2007-12-05,-10.1215
2008-01-07,-2.4024
2008-01-18,3.0769
2008-01-23,0.0
2008-01-24,13.4328
2008-01-25,-5.2632
2008-02-21,4.1667
2008-02-25,-1.3333
2008-02-29,-5.4054
2008-03-07,-8.1429
2008-03-27,5.7543
2008-04-02,-5.8824
2008-04-09,6.25
2008-07-25,2.9412000000000003
2008-10-31,0.0
2009-01-30,-5.7143
2009-02-26,-39.3939
2009-03-17,50.0
2009-03-18,-0.6667
2009-03-26,0.604
2009-04-06,-1.3342
2009-04-14,1.4199
2010-02-02,-43.9667
2010-02-23,-0.0595
2010-03-08,-52.6786
2010-05-10,-27.673000000000002
2010-05-20,0.0
2010-05-25,-10.4348
2010-08-10,-11.6505
2010-08-23,-34.0659
2010-09-13,50.0
2010-09-17,-27.7778
2010-09-21,21.5385
2010-09-24,-11.3924
2010-09-29,2.8571
2010-10-11,-1.3889
2010-11-04,11.2676
2010-11-05,37.9747
2010-11-11,-26.6055
2010-11-15,0.0
2010-11-30,-0.25
2010-12-08,0.2506
2011-03-16,-23.75
2011-06-17,-18.0328
2011-06-20,0.0
2011-07-07,-17.2
2011-09-16,-15.4589
2011-11-22,-28.5714
2012-07-30,-19.2
2012-08-24,-45.5446
2012-09-12,45.4545
2012-10-22,-43.75
2012-12-14,-22.2222
2012-12-27,0.0
2013-10-11,-34.2857
2013-10-25,0.0
2013-11-01,-2.1739
2013-12-16,-11.1111
2014-01-21,0.0
2014-03-14,0.0
2014-03-31,0.0
2014-04-11,0.0625
2014-08-20,-0.0625
2014-10-21,0.0
2014-11-21,0.0
2014-12-17,0.0
2015-01-02,-20.0
2015-01-26,0.0
2015-03-17,-31.25
2016-01-25,-8.9773
2016-07-29,0.0
2017-01-13,0.0
2017-07-20,-0.025
2018-04-03,39.8601
2018-12-12,-99.7857
2019-10-10,66566.6667
2020-04-24,400.0
2020-05-06,-25.23
2020-05-07,-98.6626
2020-06-19,9900.0
2020-07-09,0.0
