ticker,THTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-07-27,14.8649
2009-08-31,0.0
2009-10-20,-30.5882
2009-10-21,44.0678
2009-10-22,-3.5294
2009-10-23,-2.439
2009-10-26,2.5
2009-10-27,9.7561
2009-10-28,-5.5556
2009-10-29,2.3529
2009-10-30,-2.2989
2009-11-02,2.3529
2009-11-03,-1.3793
2009-11-04,1.3986
2009-11-05,3.4483
2009-11-06,-1.1111
2009-11-09,-1.1236
2009-11-10,4.5455
2009-11-11,6.5217
2009-11-12,-1.0204
2009-11-13,-0.4124
2009-11-16,0.207
2009-11-17,-1.4463
2009-11-18,0.2096
2009-11-19,0.2092
2009-11-20,-1.8789
2009-11-23,-0.4255
2009-11-24,-5.9829
2009-11-25,6.8182
2009-11-30,0.0
2009-12-01,1.9149
2009-12-02,-1.0438
2009-12-03,0.6329
2009-12-04,0.2096
2009-12-07,-0.2092
2009-12-08,0.6289
2009-12-09,2.0833
2009-12-10,-0.2041
2009-12-11,-0.6135
2009-12-14,-0.4115
2009-12-15,1.2397
2009-12-16,2.0408
2009-12-17,-0.6
2009-12-18,0.6036
2009-12-21,-0.2
2009-12-22,-0.8016
2009-12-23,-2.6263
2009-12-28,3.112
2009-12-29,-1.4085
2009-12-30,-0.6122
2009-12-31,3.2854
2010-01-04,0.1988
2010-01-05,4.7619
2010-01-06,0.3788
2010-01-07,0.566
2010-01-11,-6.379
2010-01-12,0.2004
2010-01-13,1.0
2010-01-15,0.7921
2010-01-19,-1.7682
2010-01-20,2.2
2010-01-21,0.7828
2010-01-22,-0.5825
2010-01-25,0.5859
2010-01-26,0.0
2010-01-27,-2.9126
2010-01-28,0.0
2010-01-29,3.0
2010-02-01,-2.7184
2010-02-02,0.0
2010-02-03,-2.1955999999999998
2010-02-04,1.2245
2010-02-05,-1.2097
2010-02-08,-10.2041
2010-02-09,-1.1364
2010-02-11,-0.6897
2010-02-12,2.3148
2010-02-16,2.9412000000000003
2010-02-17,-5.4945
2010-02-18,0.0
2010-02-22,2.3256
2010-02-23,0.0
2010-02-24,-4.5455
2010-02-25,-0.2381
2010-02-26,0.2387
2010-03-01,0.0
2010-03-02,4.7619
2010-03-03,0.0
2010-03-04,0.0
2010-03-05,-4.5455
2010-03-08,4.7619
2010-03-09,-0.4545
2010-03-10,0.4566
2010-03-11,-9.0909
2010-03-12,8.75
2010-03-15,-3.4483
2010-03-16,2.3810000000000002
2010-03-17,-5.814
2010-03-18,7.4074
2010-03-19,-1.1494
