ticker,AECFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-06-10,-5.0
2002-07-24,-26.3158
2002-11-08,38.0952
2003-02-24,6.8966
2003-03-12,-19.3548
2003-08-29,13.6
2003-09-15,1.7606000000000002
2003-09-18,3.8062
2003-10-21,19.0
2003-10-24,-0.5602
2003-10-30,-2.5352
2003-11-24,-18.0997
2003-11-28,17.5121
2003-12-23,-23.4234
2004-01-26,33.3333
2004-02-27,-10.0
2004-03-30,6.6993
2004-04-27,26.4931
2004-05-26,1.6949
2004-07-29,7.1429
2004-11-30,-5.5556
2005-01-11,4.7059
2005-01-13,5.618
2005-02-11,13.8298
2005-02-23,25.2336
2005-02-25,10.4478
2005-02-28,3.3784
2005-03-07,4.5752
2005-03-15,-5.25
2005-03-29,1.4017
2005-04-08,-16.7344
2005-04-13,-0.3125
2005-04-19,0.3135
2005-04-29,3.125
2005-06-16,22.7273
2005-06-17,8.0247
2005-06-22,-0.5714
2005-06-29,3.4483
2005-06-30,0.4444
2005-07-18,-3.7611
2005-08-22,11.4943
2005-08-25,-3.0928
2005-09-23,-20.7447
2005-10-25,-20.1342
2005-11-03,20.6723
2005-12-07,19.3593
2005-12-08,3.8506
2005-12-12,-2.2472
2005-12-14,3.4483
2005-12-15,5.5556
2005-12-16,3.8947000000000003
2005-12-19,3.8501
2005-12-20,-4.3902
2005-12-21,-5.6122
2005-12-28,21.0405
2005-12-29,1.8197999999999999
2005-12-30,0.0
2006-01-04,5.2632
2006-01-05,0.4167
2006-01-09,-6.639
2006-01-10,-6.1333
2006-01-11,2.2727
2006-01-12,10.6481
2006-01-17,5.272
2006-01-18,-1.4308
2006-01-19,4.0323
2006-01-20,9.3023
2006-01-23,-7.0922
2006-01-24,5.3435
2006-01-25,1.8841
2006-01-26,-1.8492
2006-01-27,-4.3478
2006-01-31,-3.0303
2006-02-01,-2.1973
2006-02-02,-5.7414
2006-02-03,0.8475
2006-02-06,-0.084
2006-02-07,-2.439
2006-02-09,-0.8621
2006-02-10,-8.6957
2006-02-13,-16.1905
2006-02-15,-2.8409
2006-02-16,0.0
2006-02-17,6.4327
2006-02-21,10.989
2006-02-22,-4.9505
2006-02-23,-7.2917
2006-02-27,0.5618
2006-03-01,-7.2626
2006-03-03,6.8675
2006-03-08,-1.3529
2006-03-09,-6.2857
2006-03-10,0.0
2006-03-16,-9.1463
2006-03-20,-5.3690999999999995
2006-03-22,16.3121
2006-03-24,1.8293
2006-03-29,0.5988
2006-03-30,-2.8571
