ticker,PBKC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-15,0.8633
2020-04-17,-2.9672
2020-05-14,-11.7906
2020-06-05,4.2017
2020-06-12,6.4516
2020-06-17,-7.5152
