ticker,VRTK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,32.2581
2000-01-04,14.6341
2000-01-05,-27.6596
2000-01-06,0.0
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,0.0
2000-01-13,38.2353
2000-01-18,-10.6383
2000-01-19,19.0476
2000-01-20,-4.0
2000-01-24,-4.1667
2000-01-28,8.6957
2000-02-01,28.0
2000-02-02,-12.5
2000-02-08,-16.0714
2000-02-10,2.1277
2000-02-11,0.0
2000-02-14,-2.0833
2000-02-15,-2.1277
2000-02-29,-13.0435
2000-03-02,0.0
2000-03-06,-5.0
2000-03-09,-15.7895
2000-03-13,6.25
2000-03-14,-2.9412000000000003
2000-03-16,9.0909
2000-03-24,-10.2222
2000-03-30,-0.9901
2000-04-04,12.5
2000-04-07,16.6667
2000-04-10,19.0476
2000-04-11,-12.0
2000-04-12,0.0
2000-04-13,36.3636
2000-04-14,-15.0
2000-04-17,25.4902
2000-04-19,-1.5625
2000-04-20,-4.7619
2000-04-26,-26.6667
2000-04-27,4.5455
2000-04-28,-21.7391
2000-05-03,-5.5556
2000-05-08,0.0
2000-05-15,52.9412
2000-05-25,-8.3077
2000-06-01,0.6711
2000-06-05,8.3333
2000-06-08,-8.0
2000-06-13,0.3344
2000-06-16,16.6667
2000-06-19,-17.8571
2000-06-22,21.0435
2000-06-23,-3.0172
2000-06-27,18.5185
2000-07-03,-0.5
2000-07-05,-18.3417
2000-07-10,23.0769
2000-07-14,-25.0
2000-07-17,33.3333
2000-07-21,-25.0
2000-07-25,0.0
2000-07-26,6.6667
2000-08-02,23.0469
2000-08-03,-11.1111
2000-08-04,12.5
2000-08-22,-11.1111
2000-08-23,-21.4286
2000-08-24,27.2727
2000-09-06,-21.4286
2000-09-11,40.9091
2000-09-15,-48.3871
2000-09-18,62.5
2000-10-06,-30.7692
2000-10-11,0.0
2000-10-30,0.0
2000-11-14,-50.0
2000-11-22,11.1111
2000-11-27,20.0
2000-11-29,-8.3333
2000-12-05,154.5455
2000-12-14,0.0
2000-12-18,-67.8571
2000-12-19,0.0
2000-12-22,0.0
2001-01-03,0.0
2001-01-05,83.3333
2001-01-10,-54.5455
2001-01-16,60.0
2001-01-22,-25.0
2001-02-02,0.0
2001-02-13,33.3333
2001-02-14,0.0
2001-02-16,0.0
2001-02-20,-33.3333
2001-03-14,0.0
2001-03-29,0.0
2001-05-25,-50.0
2001-06-04,100.0
2001-06-05,40.0
2001-06-15,44.2857
2001-06-20,-40.5941
