ticker,SEB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.9600999999999997
2000-01-04,0.0
2000-01-05,-0.5
2000-01-06,-2.5126
2000-01-10,-0.451
2000-01-11,-0.0647
2000-01-12,-1.0363
2000-01-13,0.5236
2000-01-14,-1.5625
2000-01-18,-0.5291
2000-01-19,2.1277
2000-01-20,1.0417
2000-01-21,-2.5773
2000-01-24,3.0423
2000-01-25,-3.466
2000-01-26,0.5319
2000-01-27,-1.9841
2000-01-28,1.8893
2000-01-31,-1.8542999999999998
2000-02-01,0.0
2000-02-02,-0.135
2000-02-03,2.1622
2000-02-07,-0.2646
2000-02-08,-0.2653
2000-02-09,-9.5745
2000-02-10,1.1764999999999999
2000-02-11,1.0901
2000-02-14,-0.3954
2000-02-15,-1.8405
2000-02-16,-5.2941
2000-02-17,-1.8634
2000-02-18,4.2722
2000-02-22,3.7936
2000-02-23,5.2632
2000-02-24,0.0
2000-02-25,-1.6667
2000-02-28,-1.1299
2000-02-29,2.2857
2000-03-01,0.0
2000-03-02,-2.2346
2000-03-03,0.0
2000-03-06,-1.1429
2000-03-07,-1.1561
2000-03-08,-10.526299999999999
2000-03-09,7.1895
2000-03-10,-2.439
2000-03-13,0.0
2000-03-14,-1.25
2000-03-15,-2.2152
2000-03-16,8.0906
2000-03-17,6.1377
2000-03-20,2.8249
2000-03-21,-4.3956
2000-03-22,1.1494
2000-03-23,0.0
2000-03-24,-5.1136
2000-03-28,6.5868
2000-03-29,-1.1236
2000-03-30,-0.5682
2000-03-31,1.1429
2000-04-03,1.6949
2000-04-04,-1.9444
2000-04-05,0.8499
2000-04-06,0.0
2000-04-10,0.0
2000-04-11,0.0
2000-04-12,0.0
2000-04-13,-1.1236
2000-04-14,0.0
2000-04-17,0.0
2000-04-18,4.5455
2000-04-19,1.087
2000-04-20,-1.0753
2000-04-24,4.3478
2000-04-25,-0.5208
2000-04-26,-3.6649000000000003
2000-04-27,-2.1739
2000-04-28,0.0
2000-05-01,0.0
2000-05-02,-0.8333
2000-05-03,2.521
2000-05-04,-0.5464
2000-05-05,1.0989
2000-05-08,2.1739
2000-05-09,1.5957
2000-05-10,-1.0471
2000-05-12,-6.8783
2000-05-15,-2.2727
2000-05-16,9.3023
2000-05-17,0.7979
2000-05-22,0.0
2000-05-23,-0.2639
2000-05-24,-1.0582
2000-05-25,1.6042999999999998
2000-05-26,-6.3158
2000-05-30,3.3708
2000-05-31,0.0
2000-06-02,-7.6087
2000-06-05,21.1765
