ticker,MXSGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-25,0.0
2010-01-26,0.0
2010-01-28,-9.0909
2010-01-29,30.0
2010-02-01,0.0
2010-02-02,0.0
2010-02-04,0.0
2010-02-08,0.0
2010-02-09,-15.3846
2010-02-12,-4.5455
2010-02-16,0.0
2010-02-17,-4.7619
2010-02-18,0.0
2010-02-23,-20.0
2010-03-02,-25.0
2010-03-09,-50.0
2010-03-10,166.6667
2010-03-11,0.0
2010-03-12,0.0
2010-03-18,-50.0
2010-03-19,0.0
2010-03-25,25.0
2010-03-26,-10.0
2010-03-29,-11.1111
2010-03-30,25.0
2010-04-01,0.0
2010-04-05,0.0
2010-04-07,0.0
2010-04-08,-20.0
2010-04-09,0.0
2010-04-12,22.5
2010-04-13,2.0408
2010-04-14,0.0
2010-04-16,0.0
2010-04-19,-4.0
2010-04-20,4.1667
2010-04-22,-4.0
2010-04-26,-35.4167
2010-04-28,3.2258
2010-04-29,43.75
2010-04-30,0.0
2010-05-03,0.0
2010-05-04,-30.4348
2010-05-06,40.625
2010-05-07,0.0
2010-05-10,-31.1111
2010-05-11,45.1613
2010-05-12,0.0
2010-05-13,0.0
2010-05-14,-31.1111
2010-05-17,-3.2258
2010-05-18,0.0
2010-05-19,0.0
2010-05-24,0.0
2010-05-25,0.0
2010-05-26,50.0
2010-05-27,-33.3333
2010-06-07,40.0
2010-06-10,-4.7619
2010-06-11,-20.0
2010-06-14,-6.25
2010-06-22,0.0
2010-06-23,-16.6667
2010-06-28,20.0
2010-06-29,0.0
2010-06-30,16.6667
2010-07-01,-14.2857
2010-07-02,0.0
2010-07-06,16.6667
2010-07-07,11.4286
2010-07-08,92.3077
2010-07-09,-6.6667
2010-07-12,14.2857
2010-07-13,6.25
2010-07-14,5.8824
2010-07-15,5.5556
2010-07-16,5.2632
2010-07-19,-1.125
2010-07-20,1.1378
2010-07-21,-5.0
2010-07-22,-5.2632
2010-07-23,0.0
2010-07-26,5.5556
2010-07-27,0.0
2010-07-29,0.0
2010-07-30,0.0
2010-08-02,0.0
2010-08-03,0.0
2010-08-05,-2.1053
2010-08-06,-8.6022
2010-08-09,0.0
2010-08-10,0.0
2010-08-11,5.8824
2010-08-12,-3.3333
2010-08-13,9.1954
2010-08-16,0.0
2010-08-18,5.2632
2010-08-19,0.0
2010-08-23,0.0
2010-08-26,-5.0
2010-08-27,5.2632
2010-08-30,0.0
2010-08-31,-10.0
2010-09-01,0.0
2010-09-03,11.1111
2010-09-07,20.0
