ticker,WMTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-25,-83.6634
2010-09-30,318.1818
2010-12-09,-80.0725
2010-12-10,36.3636
2010-12-13,20.0
2010-12-15,10.0
2010-12-16,0.0
2010-12-17,0.0
2010-12-23,0.0
2010-12-27,0.0
2011-01-07,0.0
2011-01-12,1.0101
2011-03-01,-24.0
2011-03-02,44.7368
2011-03-03,81.8182
2011-03-09,100.0
2011-03-14,-6.25
2011-04-11,5.8667
2011-05-13,-38.2872
2011-05-16,2.0408
2011-05-26,10.0
2011-06-03,9.0909
2011-06-21,-25.0
2011-06-23,-44.4444
2011-08-15,219.2
2011-12-27,-59.8997
2012-04-05,-6.25
2012-04-11,-32.0
2012-04-19,-1.9607999999999999
2012-04-27,5.0
2012-05-21,18.0952
2012-05-22,-18.5484
2012-05-23,17.8218
2012-06-20,-15.9664
2012-06-21,0.0
2012-06-22,0.0
2012-06-29,0.0
2012-07-30,-55.0
2012-07-31,13.3333
2012-08-01,-3.9215999999999998
2012-08-02,-38.7755
2012-08-03,23.3333
2012-08-06,-16.2162
2012-08-07,29.0323
2012-08-08,12.5
2012-08-09,-22.2222
2012-08-10,-2.8571
2012-08-13,2.9412000000000003
2012-08-14,-2.8571
2012-08-16,50.0
2012-08-20,-1.9607999999999999
2012-08-22,-38.0
2012-08-23,29.0323
2012-08-24,25.0
2012-08-27,14.375
2012-08-28,-9.071
2012-08-29,-23.0769
2012-08-30,0.0
2012-09-05,25.0
2012-09-07,-17.8
2012-09-11,106.8127
2012-09-12,0.0
2012-09-13,-20.0
2012-09-14,-4.4118
2012-09-17,-7.6923
2012-09-18,-15.0
2012-09-19,5.8824
2012-09-20,29.6296
2012-09-25,-14.2857
2012-09-27,16.6667
2012-09-28,0.0
2012-10-01,7.1429
2012-10-02,13.3333
2012-10-03,0.0
2012-10-04,17.647100000000002
2012-10-05,5.0
2012-10-08,-4.7619
2012-10-09,1.0
2012-10-10,1.9802
2012-10-11,-2.9126
2012-10-12,-5.0
2012-10-15,0.0
2012-10-16,5.2632
2012-10-17,-19.0
2012-10-19,23.4568
2012-10-23,-3.0
2012-10-25,0.0
2012-10-26,-12.3711
2012-10-31,-5.8824
2012-11-02,-5.0
2012-11-05,-1.3158
2012-11-06,20.0
2012-11-12,-11.1111
2012-11-13,0.0
2012-11-15,0.0
2012-11-16,12.5
2012-11-19,-11.1111
2012-11-21,0.0
2012-11-27,0.0
2012-11-28,-12.5
2012-11-29,0.0
2012-12-10,7.1429
