ticker,CBMB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-01,-0.8531
2018-10-02,-0.4791
2018-10-03,0.1584
2018-10-04,-0.5534
2018-10-05,0.3172
2018-10-08,-0.0784
2018-10-09,-0.3172
2018-10-10,0.3182
2018-10-11,-0.2379
2018-10-12,0.0
2018-10-15,-0.4769
2018-10-16,-0.1597
2018-10-17,-0.8408
2018-10-18,0.2832
2018-10-19,-0.4827
2018-10-22,0.1617
2018-10-23,0.0
2018-10-24,-0.7264
2018-10-25,-0.4065
2018-10-26,-1.0612
2018-10-29,-0.495
2018-10-30,1.1609
2018-10-31,-0.4098
2018-11-01,0.8222
2018-11-02,0.409
2018-11-05,0.4057
2018-11-06,0.0818
2018-11-07,0.7282
2018-11-08,0.4016
2018-11-09,1.1992
2018-11-13,-0.3945
2018-11-14,0.0794
2018-11-15,0.3172
2018-11-16,0.0
2018-11-19,0.0
2018-11-20,-0.2372
2018-11-21,1.7433
2018-11-28,0.0779
2018-11-29,0.0
2018-11-30,-0.9339
2018-12-03,-0.7855
2018-12-04,0.0
2018-12-06,-1.5835
2018-12-07,0.6034
2018-12-10,-0.6797
2018-12-11,0.7246
2018-12-12,0.9592
2018-12-13,-0.7918
2018-12-14,0.7981
2018-12-17,0.7918
2018-12-18,2.5137
2018-12-19,-5.1341
2018-12-20,0.8078
2018-12-21,-2.0833
2018-12-24,0.8592
2018-12-26,0.2028
2018-12-27,0.8097
2018-12-28,0.8032
2018-12-31,-0.239
2019-01-02,1.8371
2019-01-03,-0.7851
2019-01-04,0.0008
2019-01-07,0.0
2019-01-08,-0.7115
2019-01-09,0.7166
2019-01-10,0.0
2019-01-11,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,-0.1581
2019-01-17,0.2375
2019-01-18,0.7109
2019-01-22,-0.1569
2019-01-23,0.8641
2019-01-24,-0.0779
2019-01-28,-0.5323
2019-01-30,-0.4051
2019-01-31,-0.0787
2019-02-01,-0.2362
2019-02-04,0.2368
2019-02-05,0.0
2019-02-06,0.0787
2019-02-07,0.3147
2019-02-08,0.0784
2019-02-11,-0.3135
2019-02-12,0.0786
2019-02-13,0.3928
2019-02-14,-0.4695
2019-02-15,0.2358
2019-02-19,1.9607999999999999
2019-02-20,0.0
2019-02-21,-0.9231
2019-02-25,0.9317
2019-02-26,0.0
2019-02-28,-0.3
2019-03-01,-0.0849
2019-03-04,0.0
2019-03-05,0.5405
2019-03-06,1.1521
2019-03-07,-0.2999
2019-03-08,0.3008
