ticker,PRSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-08-19,16.6667
2003-08-20,-1.4285999999999999
2003-08-21,-3.6957
2003-08-22,4.2137
2003-08-25,-1.5884
2003-08-26,-0.9538
2003-08-27,-0.7407
2003-08-28,-0.0746
2003-08-29,1.5683
2003-09-02,-4.4118
2003-09-03,0.3846
2003-09-04,1.5326
2003-09-05,0.9811
2003-09-08,0.5232
2003-09-09,-0.0743
2003-09-10,0.2976
2003-09-11,0.5193
2003-09-12,-1.107
2003-09-15,1.7164000000000001
2003-09-16,3.1548
2003-09-17,6.2589
2003-09-18,-1.004
2003-09-19,0.6085
2003-09-22,1.203
2003-09-23,5.5847
2003-09-24,-5.6604
2003-09-25,5.0
2003-09-26,1.2063
2003-09-29,-0.8783
2003-09-30,0.0
2003-10-01,-3.1646
2003-10-02,0.0
2003-10-03,-0.6536
2003-10-06,0.3289
2003-10-07,-3.4754
2003-10-08,-3.1929
2003-10-09,6.1053
2003-10-10,-0.7275
2003-10-13,1.066
2003-10-14,0.5933
2003-10-15,0.0
2003-10-16,-1.7038
2003-10-17,0.0
2003-10-20,0.8667
2003-10-21,-2.1811
2003-10-22,3.0405
2003-10-23,-2.623
2003-10-24,2.3569
2003-10-27,-0.9868
2003-10-28,-0.5249
2003-10-29,7.8751999999999995
2003-10-30,-0.3096
2003-10-31,-0.6211
2003-11-03,-2.1875
2003-11-04,4.7923
2003-11-05,-1.2195
2003-11-06,-2.2222
2003-11-07,0.6944
2003-11-10,-0.3135
2003-11-11,-5.3459
2003-11-12,0.6645
2003-11-13,1.5842
2003-11-14,2.6641
2003-11-17,1.2658
2003-11-18,0.625
2003-11-19,1.2422
2003-11-20,-0.0061
2003-11-21,-0.6074
2003-11-24,-5.2469
2003-11-25,6.8404
2003-11-26,-0.0061
2003-11-28,3.6649000000000003
2003-12-01,0.0
2003-12-02,3.5294
2003-12-03,-0.5682
2003-12-04,-0.0571
2003-12-05,0.5146
2003-12-08,-2.446
2003-12-09,0.5831
2003-12-10,-2.029
2003-12-11,0.5917
2003-12-12,-4.7059
2003-12-15,-3.7037
2003-12-16,2.5641
2003-12-17,-0.75
2003-12-18,2.6448
2003-12-19,-1.1043
2003-12-22,3.66
2003-12-23,-2.1544
2003-12-24,0.7951
2003-12-29,-1.3956
2003-12-30,-0.9231
2003-12-31,1.4285999999999999
2004-01-02,-1.4085
2004-01-05,2.4845
2004-01-06,0.0
2004-01-07,3.0303
2004-01-08,0.7647
2004-01-09,-0.2919
