ticker,RSCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-14,400.0
2008-04-15,100.0
2008-04-17,-50.0
2008-04-22,20.0
2008-05-05,0.0
2008-05-12,83.3333
2008-05-16,0.0
2008-05-27,-45.4545
2008-06-06,83.3333
2008-06-11,-36.3636
2008-06-17,-57.1429
2008-06-19,-46.6667
2008-06-20,0.0
2008-06-23,-25.0
2008-06-24,16.6667
2008-06-25,-14.2857
2008-06-26,0.0
2008-06-27,0.0
2008-06-30,0.0
2008-07-01,0.0
2008-07-16,0.0
2008-08-25,0.0
2008-08-29,0.0
2008-09-03,0.0
2008-09-04,0.0
2008-09-23,0.0
2008-10-08,0.0
2008-11-12,0.0
2008-12-16,0.0
2009-01-05,33.3333
2009-03-09,-25.0
2009-03-12,66.6667
2009-03-13,-20.0
2009-03-16,50.0
2009-03-17,-33.3333
2009-03-18,25.0
2009-03-19,0.0
2009-03-20,0.0
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,-10.0
2009-03-26,0.0
2009-03-30,-33.3333
2009-03-31,-16.6667
2009-04-01,78.0
2009-04-02,0.0
2009-04-03,0.0
2009-04-06,0.9831
2009-04-07,-0.9736
2009-04-09,-5.618
2009-04-13,0.0
2009-04-14,-4.7619
2009-04-15,-50.0
2009-04-16,75.0
2009-04-17,0.0
2009-04-20,-14.2857
2009-04-21,-16.6667
2009-04-22,-20.0
2009-04-24,12.5
2009-04-27,0.0
2009-04-28,77.7778
2009-04-29,0.0
2009-04-30,0.0
2009-05-01,0.0
2009-05-04,0.0
2009-05-05,0.0
2009-05-06,-37.5
2009-05-07,20.0
2009-05-08,-16.6667
2009-05-11,60.0
2009-05-13,0.0
2009-05-18,0.0
2009-05-19,-50.0
2009-05-20,0.0
2009-05-21,-25.0
2009-05-22,0.0
2009-05-26,0.0
2009-06-02,0.0
2009-06-04,0.0
2009-06-05,-16.6667
2009-06-12,-20.0
2009-06-18,-50.0
2009-07-06,0.0
2009-07-13,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-24,-20.0
2009-08-25,25.0
2009-10-22,0.0
2009-11-05,-30.0
2009-11-19,0.0
2009-12-15,0.0
2009-12-30,-25.8929
2010-03-17,2020.4819
2010-03-18,-63.6364
2010-03-19,-50.0
2010-03-22,0.0
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,0.0
2010-03-29,0.0
2010-04-01,0.0
2011-01-25,-90.7407
2011-01-27,20.0
2011-02-28,-16.6667
2011-03-15,0.0
