ticker,LRDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-06,5.7143
2009-11-09,1.3514
2009-11-18,3.3333
2009-11-19,1.2903
2009-11-20,0.0
2009-11-30,-61.7834
2009-12-08,25.0
2009-12-09,60.0
2009-12-10,-8.3333
2009-12-11,27.2727
2009-12-14,0.0
2009-12-15,0.0
2009-12-16,12.1429
2009-12-17,0.0
2009-12-18,0.0
2009-12-21,-10.828
2009-12-22,10.7143
2009-12-23,0.6452
2009-12-28,0.0
2009-12-29,0.641
2009-12-30,-1.2739
2009-12-31,0.0
2010-01-04,1.2903
2010-01-05,7.6433
2010-01-07,-4.7337
2010-01-08,4.3478
2010-01-11,-1.7856999999999998
2010-01-12,0.0
2010-01-13,-3.0303
2010-01-14,0.0
2010-01-15,0.0
2010-01-19,5.625
2010-01-20,0.0
2010-01-22,0.5917
2010-01-25,10.5882
2010-01-26,-2.1277
2010-01-27,0.5435
2010-01-28,3.2432
2010-02-01,0.0
2010-02-02,-0.5236
2010-02-03,-0.5263
2010-02-04,0.5291
2010-02-08,0.5263
2010-02-09,-1.0471
2010-02-11,0.5291
2010-02-12,-0.5263
2010-02-16,0.0
2010-02-17,-0.5291
2010-02-18,0.0
2010-02-19,0.0
2010-02-23,0.0
2010-02-24,0.0
2010-02-25,-0.5319
2010-02-26,-0.5348
2010-03-01,-0.5376
2010-03-02,0.5405
2010-03-03,-0.5376
2010-03-05,0.0
2010-03-08,0.0
2010-03-09,0.0
2010-03-12,-1.0811
2010-03-15,0.0
2010-03-16,0.0
2010-03-18,-1.6393
2010-03-22,0.0
2010-03-24,-8.3333
2010-03-25,-9.0909
2010-03-26,17.3333
2010-03-29,-1.1364
2010-03-30,0.0
2010-03-31,0.5747
2010-04-01,-14.2857
2010-04-05,16.6667
2010-04-06,-0.5714
2010-04-07,-13.7931
2010-04-08,20.0
2010-04-09,-0.5556
2010-04-13,-5.5866
2010-04-14,0.0
2010-04-15,0.0
2010-04-16,0.0
2010-04-19,-28.9941
2010-04-20,25.0
2010-04-21,0.0
2010-04-27,-3.3333
2010-04-28,-3.4483
2010-04-29,3.5714
2010-05-03,-10.3448
2010-05-04,15.3846
2010-05-05,-6.6667
2010-05-06,-0.7143
2010-05-07,-4.3165
2010-05-10,0.0
2010-05-12,0.0
2010-05-13,-2.2556
2010-05-14,-0.7692
2010-05-17,0.0
2010-05-19,0.7752
2010-05-20,-3.8462
2010-05-21,-0.8
2010-05-24,0.8065
2010-05-25,-1.6
2010-05-26,0.813
