ticker,LKCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-01-09,50.6
2019-01-10,272.7092
2019-01-11,-21.610500000000002
2019-01-14,-45.4545
2019-01-15,-49.1667
2019-01-16,-41.7221
2019-01-17,-1.5471
2019-01-18,0.0014
2019-01-22,92.8571
2019-01-23,-7.4074
2019-01-24,-5.6
2019-01-25,1.6949
2019-01-28,-0.0083
2019-01-29,4.1753
2019-01-30,-7.444
2019-01-31,0.2636
2019-02-01,2.3276
2019-02-04,-4.802
2019-02-05,0.7956
2019-02-06,0.7911
2019-02-07,0.0871
2019-02-08,-4.2698
2019-02-11,3.5511
2019-02-12,-3.8709
2019-02-13,-5.4726
2019-02-14,-8.6948
2019-02-15,-8.491
2019-02-19,-0.5516
2019-02-20,-0.5802
2019-02-21,-1.1696
2019-02-22,-1.7751000000000001
2019-02-25,0.4819
2019-02-26,0.3597
2019-02-27,-1.4337
2019-02-28,-2.1818
2019-03-01,2.3544
2019-03-04,2.0581
2019-03-05,3.4401
2019-03-06,-5.7339
2019-03-07,0.4866
2019-03-08,-1.6126
2019-03-11,-4.0213
2019-03-12,0.0
2019-03-13,2.5641
2019-03-14,-4.875
2019-03-15,-1.3141
2019-03-18,-4.6605
2019-03-19,4.7486
2019-03-20,3.3333
2019-03-21,-1.9226
2019-03-22,1.6971
2019-03-25,-5.304
2019-03-26,1.9125999999999999
2019-03-27,-0.5362
2019-03-28,0.5391
2019-03-29,-0.134
2019-04-01,-0.1342
2019-04-02,-0.4032
2019-04-03,-0.2699
2019-04-04,-1.4899
2019-04-05,1.5124
2019-04-08,-4.5995
2019-04-09,2.8354
2019-04-10,-1.3807
2019-04-11,-2.2364
2019-04-12,-5.0072
2019-04-15,1.6566
2019-04-16,0.7407
2019-04-17,0.0
2019-04-18,-4.8485
2019-04-22,-2.6305
2019-04-23,5.3158
2019-04-24,2.4868
2019-04-25,-0.1471
2019-04-26,-3.5346
2019-04-29,0.7634
2019-04-30,-1.5152
2019-05-01,-1.5385
2019-05-02,-5.9375
2019-05-03,1.3272
2019-05-06,0.8213
2019-05-07,-0.1626
2019-05-08,0.3257
2019-05-09,0.3247
2019-05-10,-0.3236
2019-05-13,5.9643
2019-05-14,14.9003
2019-05-15,-1.4667
2019-05-16,-9.0663
2019-05-17,1.1905000000000001
2019-05-20,-9.2647
2019-05-21,3.5251
2019-05-22,1.2916
2019-05-23,2.7048
2019-05-24,0.0752
2019-05-28,-1.0526
2019-05-29,-1.2158
2019-05-30,2.0
