ticker,OCFC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2491
2000-01-04,-5.9701
2000-01-05,-4.7619
2000-01-06,1.6667
2000-01-07,0.8197
2000-01-10,4.065
2000-01-11,0.0
2000-01-12,-1.5625
2000-01-13,1.7856999999999998
2000-01-14,0.9747
2000-01-18,-0.3861
2000-01-19,2.907
2000-01-20,-0.1883
2000-01-21,0.0
2000-01-24,-1.1320999999999999
2000-01-25,-1.5267
2000-01-26,-4.6512
2000-01-27,2.8455
2000-01-28,-0.3953
2000-01-31,-0.3968
2000-02-01,-0.3984
2000-02-02,0.16
2000-02-03,2.0161
2000-02-04,1.1858
2000-02-07,0.0
2000-02-08,0.3906
2000-02-09,-0.3891
2000-02-10,-0.7812
2000-02-11,0.0
2000-02-14,0.7874
2000-02-15,1.5625
2000-02-16,-1.1538
2000-02-17,-0.3891
2000-02-18,0.3906
2000-02-22,1.1673
2000-02-23,-1.5385
2000-02-24,-1.5625
2000-02-25,1.1905000000000001
2000-02-28,0.3922
2000-02-29,-0.3906
2000-03-01,1.9607999999999999
2000-03-02,-2.3077
2000-03-03,-0.7874
2000-03-06,1.1905000000000001
2000-03-07,-1.1764999999999999
2000-03-08,1.5873
2000-03-09,-0.7812
2000-03-10,-0.7874
2000-03-13,1.1905000000000001
2000-03-14,-3.5294
2000-03-15,-2.439
2000-03-16,6.6667
2000-03-17,-4.6875
2000-03-20,1.6393
2000-03-21,1.6129
2000-03-22,-1.5873
2000-03-23,-1.2097
2000-03-24,0.4082
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,0.813
2000-03-31,1.2097
2000-04-03,-1.1952
2000-04-04,-4.0323
2000-04-05,2.521
2000-04-06,-1.6393
2000-04-07,-0.4167
2000-04-10,0.0
2000-04-11,-0.8368
2000-04-12,-1.2658
2000-04-13,1.2821
2000-04-14,1.2658
2000-04-17,-1.6667
2000-04-18,1.6949
2000-04-19,3.3333
2000-04-20,0.0
2000-04-24,-0.8065
2000-04-25,4.878
2000-04-26,-2.3256
2000-04-27,3.1746
2000-04-28,-1.5385
2000-05-01,0.7813
2000-05-02,0.3876
2000-05-03,2.332
2000-05-04,0.7634
2000-05-05,0.3788
2000-05-08,0.3774
2000-05-09,-0.3759
2000-05-10,0.0
2000-05-11,2.6414999999999997
2000-05-12,-1.4706000000000001
2000-05-15,1.4925
2000-05-16,-0.7353
2000-05-17,-1.4815
2000-05-18,0.3759
2000-05-19,1.1236
2000-05-22,0.7407
