ticker,SFBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1364
2000-01-05,5.7471
2000-01-06,1.087
2000-01-07,0.0
2000-01-14,-1.0753
2000-01-27,-4.3478
2000-02-11,4.5455
2000-02-16,-5.4348
2000-02-22,1.1494
2000-02-29,-2.2727
2000-03-08,0.0
2000-03-30,1.1628
2000-03-31,8.046
2000-04-04,1.0638
2000-04-05,-1.0526
2000-04-28,-6.383
2000-05-01,0.0
2000-06-05,1.1364
2000-06-07,-1.1236
2000-06-08,1.1364
2000-06-13,0.8989
2000-06-14,-1.1236
2000-06-20,1.1364
2000-06-22,-2.2472
2000-06-23,-3.4483
2000-06-29,-3.5714
2000-07-05,1.2346
2000-07-25,12.1951
2000-07-26,-4.3478
2000-07-28,0.0
2000-07-31,1.1364
2000-08-01,4.4944
2000-08-02,1.0753
2000-08-09,-2.1277
2000-08-11,2.1739
2000-08-17,-2.1277
2000-08-21,0.0
2000-08-24,1.087
2000-08-25,-1.0753
2000-08-30,1.2174
2000-09-01,0.945
2000-09-13,1.0638
2000-09-18,1.0526
2000-09-19,-1.0417
2000-09-22,0.0
2000-09-28,2.1053
2000-10-10,-1.5464
2000-10-11,0.5236
2000-10-12,0.5208
2000-10-13,-2.5907
2000-10-25,1.0638
2000-10-26,0.5263
2000-10-30,-1.5707
2000-11-03,1.0638
2000-11-13,-1.0526
2000-11-15,0.0
2000-11-27,0.0
2001-01-31,0.8584
2001-02-07,2.6596
2001-02-12,-1.0363
2001-02-13,0.0
2001-02-20,0.5236
2001-02-21,4.1667
2001-02-28,0.5
2001-03-21,-3.4826
2001-04-02,0.0
2001-04-19,1.0309
2001-04-26,-0.7347
2001-05-10,2.7961
2001-05-23,-0.8
2001-05-30,0.0806
2001-05-31,-0.3223
2001-06-07,1.0509
2001-06-14,-0.2419
2001-06-15,0.0
2001-06-29,0.3234
2001-07-10,-0.3223
2001-07-16,0.0
2001-07-20,0.0
2001-07-27,0.0
2001-07-30,0.4042
2001-07-31,0.6039
2001-08-01,1.0004
2001-08-08,1.0301
2001-08-13,1.5686
2001-08-22,-2.471
2001-08-31,0.1584
2001-09-04,4.7431
2001-09-06,-4.9056999999999995
2001-09-20,1.8651
2001-09-21,-1.0518
2001-09-24,0.0
2001-09-25,0.0
2001-09-27,-2.7559
2001-09-28,5.2632
2001-10-22,-2.3077
2001-10-25,-1.4961
2001-10-29,0.4796
2001-11-14,3.6416
2001-11-30,-2.0924
2001-12-28,0.0806
2002-01-14,0.3223
