ticker,QRHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-07-17,9.0909
2009-07-20,25.0
2009-07-21,-3.3333
2009-07-22,3.4483
2009-07-23,20.0
2009-07-24,0.0
2009-07-27,0.0
2009-07-28,-5.5556
2009-07-29,0.0
2009-07-30,0.0
2009-07-31,-2.9412000000000003
2009-08-03,-21.2121
2009-08-04,11.538499999999999
2009-08-05,3.4483
2009-08-10,-3.3333
2009-08-11,-3.4483
2009-08-12,0.0
2009-08-14,7.1429
2009-08-17,-20.0
2009-08-18,-4.1667
2009-08-26,4.3478
2009-08-27,33.3333
2009-08-28,-18.75
2009-09-11,-7.6923
2009-09-14,-16.6667
2009-09-15,5.0
2009-09-16,0.0
2009-09-17,28.5714
2009-09-18,-11.1111
2009-09-22,25.0
2009-09-28,-10.0
2009-09-30,11.1111
2009-10-02,-13.3333
2009-10-05,-7.6923
2009-10-07,16.6667
2009-10-08,7.1429
2009-10-12,-10.0
2009-10-14,3.7037
2009-10-19,7.1429
2009-10-20,6.6667
2009-10-21,0.0
2009-10-22,28.125
2009-10-23,-12.1951
2009-10-26,27.7778
2009-10-27,4.3478
2009-10-28,-12.5
2009-10-29,19.0476
2009-10-30,-8.0
2009-11-02,23.913
2009-11-03,-12.2807
2009-11-05,0.0
2009-11-06,-20.0
2009-11-11,20.0
2009-11-12,4.1667
2009-11-13,0.0
2009-11-16,-6.8
2009-11-20,7.2961
2009-11-23,-8.0
2009-11-24,-4.3478
2009-11-25,29.5455
2009-11-30,-26.3158
2009-12-02,40.4762
2009-12-03,-5.0847
2009-12-07,-17.8571
2009-12-08,17.3913
2009-12-09,-7.4074
2009-12-10,0.0
2009-12-11,0.0
2009-12-14,8.0
2009-12-15,-7.4074
2009-12-17,8.0
2009-12-18,-7.4074
2009-12-21,0.0
2009-12-22,-4.0
2009-12-24,0.0
2009-12-29,4.1667
2009-12-30,12.0
2009-12-31,-3.5714
2010-01-05,11.1111
2010-01-06,-10.0
2010-01-07,3.7037
2010-01-11,-3.5714
2010-01-12,-3.7037
2010-01-13,-3.8462
2010-01-19,-4.0
2010-01-22,0.0
2010-01-25,-4.1667
2010-01-27,0.0
2010-01-28,8.6957
2010-01-29,-8.0
2010-02-02,-4.3478
2010-02-03,4.5455
2010-02-05,21.7391
2010-02-08,-17.8571
2010-02-09,4.3478
2010-02-11,-2.0833
2010-02-12,-6.383
2010-02-16,31.8182
2010-02-17,-13.7931
2010-02-18,-4.0
2010-02-19,2.0833
2010-02-22,18.3673
