ticker,RESCU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-22,5.1282
2014-01-23,7.3171
2014-01-24,6.25
2014-01-27,6.9519
2014-01-28,6.2
2014-01-29,2.6365
2014-01-30,10.0917
2014-01-31,5.0
2014-02-03,2.0635
2014-02-04,-0.4666
2014-02-05,1.1719
2014-02-06,2.7027
2014-02-07,0.7519
2014-02-10,0.7463
2014-02-11,0.4444
2014-02-12,0.295
2014-02-13,-1.4706000000000001
2014-02-18,-10.4478
2014-02-19,9.5833
2014-02-25,0.0
2014-02-26,-1.597
2014-02-27,-0.3091
2014-02-28,0.7752
2014-03-03,3.8462
2014-03-04,1.8519
2014-03-05,0.0
2014-03-06,1.8182
2014-03-07,1.0714
2014-03-11,1.0601
2014-03-12,0.0
2014-03-14,0.3497
2014-03-17,0.6969
2014-03-18,-0.346
2014-03-19,0.0
2014-03-20,-2.0833
2014-03-24,0.0
2014-03-25,0.4255
2014-03-26,11.935
2014-03-27,-2.2082
2014-03-28,-5.1613
2014-04-01,2.0408
2014-04-02,3.6667
2014-04-03,-0.9646
2014-04-04,-0.4545
2014-04-07,-0.1957
2014-04-08,0.0654
2014-04-09,0.5879
2014-04-10,-2.5974
2014-04-11,2.0
2014-04-14,0.0
2014-04-15,1.3072
2014-04-16,1.6774
2014-04-17,-2.2843
2014-04-21,0.6494
2014-04-22,0.0
2014-04-23,-0.6452
2014-04-24,-2.5974
2014-04-25,0.2
2014-04-28,2.1291
2014-04-29,0.0
2014-04-30,-0.9772
2014-05-01,0.6579
2014-05-02,0.0
2014-05-05,0.719
2014-05-06,5.9053
2014-05-07,7.8431
2014-05-08,5.1136
2014-05-09,-0.5405
2014-05-12,1.9022000000000001
2014-05-13,3.7333
2014-05-14,-0.5141
2014-05-15,-2.8424
2014-05-16,0.9043
2014-05-19,-0.369
2014-05-20,-0.5291
2014-05-21,0.0
2014-05-22,0.5666
2014-05-23,0.0
2014-05-27,-0.338
2014-05-28,-0.3392
2014-05-29,0.1134
2014-05-30,-0.5666
2014-06-02,0.2849
2014-06-03,-0.0568
2014-06-04,-0.7959
2014-06-05,0.4011
2014-06-06,-0.3425
2014-06-09,0.2291
2014-06-10,0.1714
2014-06-11,-0.1711
2014-06-12,-0.0571
2014-06-13,0.0572
2014-06-16,-0.5143
2014-06-17,-1.2062
2014-06-18,-6.0465
2014-06-19,-0.3713
2014-06-20,0.0
2014-06-23,-0.6211
2014-06-24,-3.75
2014-06-25,0.3247
2014-06-26,1.5566
