ticker,BXNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-20,40.0
2016-04-21,-10.2857
2016-04-22,-0.6369
2016-04-25,2.5641
2016-04-26,-4.6875
2016-04-27,-18.0328
2016-04-28,10.0
2016-04-29,-1.8182
2016-05-02,-2.963
2016-05-03,-4.5802
2016-05-04,-0.4
2016-05-05,0.4016
2016-05-06,-20.0
2016-05-09,25.0
2016-05-10,2.0
2016-05-11,1.5686
2016-05-12,-16.6023
2016-05-13,-0.463
2016-05-16,-20.4651
2016-05-17,-13.4503
2016-05-18,-15.5405
2016-05-19,25.6
2016-05-20,-8.2803
2016-05-23,-18.2856
2016-05-24,2.831
2016-05-25,0.0
2016-05-26,-16.5289
2016-05-27,23.7624
2016-05-31,0.0
2016-06-02,0.0
2016-06-03,-12.96
2016-06-06,13.9706
2016-06-09,-10.4839
2016-06-10,-0.9009
2016-06-13,7.7102
2016-06-15,14.7861
2016-06-16,-0.7353
2016-06-23,3.7037
2016-06-27,7.1429
2016-06-29,-10.0
2016-06-30,-14.8148
2016-07-01,8.6957
2016-07-05,19.2
2016-07-06,1.3423
2016-07-11,-10.596
2016-07-12,10.3704
2016-07-14,33.557
2016-07-18,-22.1106
2016-07-19,-9.6774
2016-07-20,17.8571
2016-07-25,0.0
2016-07-26,-18.1818
2016-07-27,21.4815
2016-08-02,-4.2683
2016-08-03,-14.9045
2016-08-04,8.5329
2016-08-15,0.0086
2016-08-18,-0.0086
2016-08-19,6.2069
2016-08-22,0.0
2016-08-23,-4.5455
2016-08-24,10.2041
2016-08-25,1.8519
2016-08-26,-9.0909
2016-08-29,-3.3333
2016-08-30,0.0
2016-09-01,20.6897
2016-09-06,-2.8571
2016-09-07,-2.9412000000000003
2016-09-08,-16.9697
2016-09-13,27.7372
2016-09-20,-18.8571
2016-09-21,-14.7887
2016-09-22,3.3058
2016-09-23,16.0
2016-09-26,0.0
2016-09-30,-1.3793
2016-10-05,-1.3986
2016-10-06,2.1277
2016-10-14,-2.0833
2016-10-19,-4.2553
2016-10-21,4.4444
2016-10-24,3.6037
2016-10-25,47.1784
2016-10-26,25.1163
2016-10-27,-3.3457
2016-10-28,11.1538
2016-10-31,2.2902
2016-11-01,18.3957
2016-11-02,2.8571
2016-11-03,5.8333
2016-11-04,1.3484
2016-11-07,-4.1792
2016-11-08,-12.1622
2016-11-09,0.0
2016-11-10,-13.538499999999999
2016-11-11,-18.1495
2016-11-14,8.6957
2016-11-15,-14.0
2016-11-16,5.1163
