ticker,BILI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-28,-2.2609
2018-03-29,-2.1352
2018-04-02,0.0
2018-04-03,-0.8182
2018-04-04,0.55
2018-04-05,0.0912
2018-04-06,-0.3643
2018-04-09,1.4625
2018-04-10,3.6036
2018-04-11,-0.1739
2018-04-12,1.2195
2018-04-13,-1.8933
2018-04-16,-0.614
2018-04-17,-0.0883
2018-04-18,0.265
2018-04-19,0.0
2018-04-20,-1.4097
2018-04-23,0.0
2018-04-24,0.8937
2018-04-25,-3.4544
2018-04-26,0.9174
2018-04-27,-3.5455
2018-04-30,2.9218
2018-05-01,-3.1136
2018-05-02,-3.0246
2018-05-03,-1.7544
2018-05-04,-0.8929
2018-05-07,0.1001
2018-05-08,2.7
2018-05-09,3.7001
2018-05-10,3.2864
2018-05-11,4.1818
2018-05-14,5.3229
2018-05-15,0.7457
2018-05-16,16.0362
2018-05-17,-3.9688
2018-05-18,-5.2399000000000004
2018-05-21,-0.7009
2018-05-22,3.0588
2018-05-23,-5.3272
2018-05-24,11.3344
2018-05-25,2.8159
2018-05-29,5.5478
2018-05-30,10.9115
2018-05-31,-2.6395
2018-06-01,4.1898
2018-06-04,-2.8386
2018-06-05,1.7042000000000002
2018-06-06,-0.8378
2018-06-07,-2.1123
2018-06-08,16.8311
2018-06-11,-2.7968
2018-06-12,1.3029
2018-06-13,7.5563
2018-06-14,2.1425
2018-06-15,-4.1463
2018-06-18,8.2952
2018-06-19,-9.8684
2018-06-20,-3.3368
2018-06-21,-11.3269
2018-06-22,1.2774
2018-06-25,-7.7477
2018-06-26,3.1901
2018-06-27,-12.3028
2018-06-28,4.3165
2018-06-29,-3.5172
2018-07-02,-4.5032
2018-07-03,3.2934
2018-07-05,-6.5217
2018-07-06,3.1008
2018-07-09,4.1353
2018-07-10,-4.2599
2018-07-11,-3.6199
2018-07-12,11.5806
2018-07-13,-3.2258
2018-07-16,0.0
2018-07-17,-0.7971
2018-07-18,5.4054
2018-07-19,-3.5343
2018-07-20,3.5201000000000002
2018-07-23,-1.5960999999999999
2018-07-24,-1.8336000000000001
2018-07-25,-4.023
2018-07-26,-4.4162
2018-07-27,-5.0117
2018-07-30,-4.4518
2018-07-31,1.0354
2018-08-01,-3.2451
2018-08-02,1.5887
2018-08-03,-3.9096
2018-08-06,1.8987
2018-08-07,1.1535
2018-08-08,-0.0877
2018-08-09,-1.2291
2018-08-10,-0.9778
2018-08-13,-2.9623
2018-08-14,-1.3876
2018-08-15,-3.7054
