ticker,FCAU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-14,0.3363
2014-10-15,-2.1229
2014-10-16,-0.2283
2014-10-17,4.119
2014-10-20,2.3077
2014-10-21,1.5038
2014-10-22,-0.4233
2014-10-23,2.3379
2014-10-24,-1.3498999999999999
2014-10-27,-2.7368
2014-10-28,5.1948
2014-10-29,11.6255
2014-10-30,-0.0922
2014-10-31,5.7196
2014-11-03,-2.007
2014-11-04,-1.6028
2014-11-05,0.8145
2014-11-06,-1.4363000000000001
2014-11-07,-0.3643
2014-11-10,1.0055
2014-11-11,3.3484
2014-11-12,2.1891
2014-11-13,5.6555
2014-11-14,0.5677
2014-11-17,1.0484
2014-11-18,2.2346
2014-11-19,-4.5277
2014-11-20,-0.0818
2014-11-21,0.3273
2014-11-24,2.6101
2014-11-25,0.5564
2014-11-26,-0.4743
2014-11-28,-1.0326
2014-12-01,2.0064
2014-12-02,2.9898
2014-12-03,3.5905
2014-12-04,-2.5074
2014-12-05,2.9501
2014-12-08,-2.4981999999999998
2014-12-09,-4.5215
2014-12-10,-9.4712
2014-12-11,-2.5282999999999998
2014-12-12,1.6099999999999999
2014-12-15,0.4401
2014-12-16,0.7011
2014-12-17,-0.3481
2014-12-18,0.786
2014-12-19,0.9532
2014-12-22,0.1717
2014-12-23,1.1997
2014-12-24,0.5927
2014-12-26,0.0
2014-12-29,-1.0101
2014-12-30,0.1701
2014-12-31,-1.6978
2015-01-02,0.9499
2015-01-05,-3.7639
2015-01-06,3.0222
2015-01-07,-0.0863
2015-01-08,0.9499
2015-01-09,1.3687
2015-01-12,1.6878
2015-01-13,0.4979
2015-01-14,-0.4129
2015-01-15,-2.073
2015-01-16,2.4555
2015-01-20,2.8099
2015-01-21,-0.6431
2015-01-22,2.8317
2015-01-23,1.4949
2015-01-26,5.0388
2015-01-27,-2.583
2015-01-28,-2.197
2015-01-29,3.2533
2015-01-30,-0.9002
2015-02-02,2.1953
2015-02-03,3.3333
2015-02-04,0.0717
2015-02-05,0.788
2015-02-06,-3.3404
2015-02-09,-2.1324
2015-02-10,3.8317
2015-02-11,-0.3618
2015-02-12,5.0835
2015-02-13,0.4147
2015-02-17,-0.6194
2015-02-18,1.8006
2015-02-19,2.7211
2015-02-20,2.649
2015-02-23,0.3871
2015-02-24,-0.3213
2015-02-25,-2.0632
2015-02-26,1.8433000000000002
2015-02-27,-0.3878
2015-03-02,2.7255000000000003
2015-03-03,-3.2849
2015-03-04,1.241
2015-03-05,0.5806
