ticker,TAPP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-11,-19.2
2010-03-19,-25.7426
2010-03-22,-33.3333
2010-03-29,-80.0
2010-03-31,50.0
2010-04-06,-33.3333
2010-04-09,-63.0
2010-04-12,35.1351
2010-04-13,0.0
2010-04-14,0.0
2010-04-15,0.0
2010-04-16,0.0
2010-04-20,-70.0
2010-04-21,33.3333
2010-04-22,0.0
2010-04-26,0.0
2010-04-27,50.0
2010-04-28,0.0
2010-05-05,-33.3333
2010-05-07,0.0
2010-05-11,-50.0
2010-05-12,-5.0
2010-05-13,-89.8947
2010-05-14,316.6667
2010-05-17,205.0
2010-05-20,63.9344
2010-05-21,-14.0
2010-05-24,17.4419
2010-06-07,-20.7921
2010-08-19,-37.5
2011-03-02,-20.0
2011-03-04,0.0
2011-04-01,150.0
2011-06-08,-50.0
2011-08-08,0.0
2011-11-02,0.0
2012-03-21,-79.6
2012-06-26,0.0
2013-04-29,0.0
2013-12-06,0.0
2017-03-13,-31.3725
2017-09-21,2.8571
