ticker,ATYM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-12,142.8571
2008-02-13,-10.5882
2008-02-14,-11.8421
2008-02-15,2.2388
2008-02-19,-0.3504
2008-02-20,3.8676
2008-02-21,1.5514999999999999
2008-02-22,0.6944
2008-02-25,4.0
2008-02-26,-7.1618
2008-02-27,-3.5732
2008-02-28,-10.3706
2008-02-29,-1.8162
2008-03-03,-11.7845
2008-03-04,11.6412
2008-03-05,-1.8803
2008-03-06,-4.1834
2008-03-07,-8.1797
2008-03-10,-15.8416
2008-03-11,5.8824
2008-03-12,10.8861
2008-03-13,0.2029
2008-03-14,1.0
2008-03-17,-6.9307
2008-03-18,3.8298
2008-03-19,-2.1926
2008-03-20,-0.4793
2008-03-24,0.8395
2008-03-25,2.2965
2008-03-26,-2.0408
2008-03-27,1.8542
2008-03-28,-2.1144
2008-03-31,-3.8788
2008-04-01,-0.6522
2008-04-02,5.0328
2008-04-03,-1.0391
2008-04-04,-0.3184
2008-04-07,0.3168
2008-04-08,-2.1053
2008-04-09,5.3763
2008-04-10,-7.1403
2008-04-11,5.9751
2008-04-14,-1.2858
2008-04-15,0.4202
2008-04-16,-1.046
2008-04-17,1.0571
2008-04-18,0.1255
2008-04-21,-0.9611
2008-04-22,1.6878
2008-04-23,-1.4523
2008-04-24,0.0
2008-04-25,1.8947
2008-04-28,8.8843
2008-04-29,-0.759
2008-04-30,-2.1033
2008-05-01,1.1719
2008-05-02,-3.4725
2008-05-05,-1.0025
2008-05-06,-1.4141
2008-05-07,-2.5
2008-05-08,-1.219
2008-05-09,2.5532
2008-05-12,-1.8256999999999999
2008-05-13,3.339
2008-05-14,1.8405
2008-05-15,16.0643
2008-05-16,-7.0934
2008-05-19,-5.0279
2008-05-20,-0.1961
2008-05-21,-6.8762
2008-05-22,2.5738
2008-05-23,-1.4809
2008-05-27,-1.3361
2008-05-28,0.5078
2008-05-29,2.1474
2008-05-30,0.9893
2008-06-02,-3.7143
2008-06-03,0.4663
2008-06-04,-0.8439
2008-06-05,4.9574
2008-06-06,-1.6851
2008-06-09,-3.5850999999999997
2008-06-10,2.3524
2008-06-11,-3.8863
2008-06-12,-0.4348
2008-06-13,0.434
2008-06-16,0.6549
2008-06-17,-2.3758
2008-06-18,3.9823
2008-06-19,8.0851
2008-06-20,-4.7244
2008-06-23,-0.829
2008-06-24,-7.4976
2008-06-25,3.0631
2008-06-26,1.1801
2008-06-27,-2.1598
2008-06-30,-1.1038000000000001
2008-07-01,2.2321
