ticker,ALTG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-01,0.0
2019-05-17,-0.2711
2019-05-23,1.2643
2019-06-04,-0.0612
2019-06-06,0.0654
2019-06-07,-0.4716
2019-06-18,1.0236
2019-06-19,-0.3797
2019-06-20,-0.4341
2019-06-24,0.2047
2019-06-25,-0.4086
2019-06-26,0.0
2019-06-27,-0.2051
2019-06-28,0.2055
2019-07-01,-0.1026
2019-07-02,0.1027
2019-07-03,0.0
2019-07-08,0.0
2019-07-10,0.1026
2019-07-11,0.1025
2019-07-15,0.2047
2019-07-22,-0.2043
2019-07-23,0.0
2019-07-29,0.0
2019-08-01,0.2047
2019-08-06,-0.0163
2019-08-09,0.3228
2019-08-12,0.0
2019-08-14,-0.2037
2019-08-15,-0.3061
2019-08-20,0.2047
2019-08-23,-0.2043
2019-08-26,0.0
2019-08-27,0.1024
2019-08-28,0.2045
2019-08-29,0.0
2019-08-30,0.3061
2019-09-03,-0.1017
2019-09-05,0.3055
2019-09-09,-0.203
2019-09-10,1.5259
2019-09-11,-0.9018
2019-09-12,0.3033
2019-09-13,-0.4032
2019-09-16,0.1012
2019-09-17,0.5056
2019-09-18,-0.4024
2019-09-19,0.201
2019-09-25,0.001
2019-10-03,0.0
2019-10-04,0.0
2019-10-09,-0.2016
2019-10-10,-0.5051
2019-10-11,0.203
2019-10-17,0.4053
2019-10-21,-0.5045
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.4057
2019-10-25,0.202
2019-10-28,-0.4032
2019-10-29,-0.1012
2019-10-30,0.1013
2019-11-01,0.0
2019-11-13,0.0
2019-11-20,0.4049
2019-11-22,0.3024
2019-11-25,-0.1005
2019-11-26,0.0
2019-11-27,0.0
2019-12-06,0.3018
2019-12-09,0.0
2019-12-11,0.0
2019-12-12,0.2006
2019-12-13,1.1011
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,-0.4703
2019-12-19,-0.5223
2019-12-20,1.5
2019-12-23,-0.5911
2019-12-24,0.0
2019-12-26,-0.3964
2019-12-27,0.2985
2019-12-30,0.0992
2019-12-31,-0.7929
2020-01-03,0.7992
2020-01-07,0.1982
2020-01-08,0.0
2020-01-09,0.0989
2020-01-10,0.1976
2020-01-13,0.2959
2020-01-14,0.0983
2020-01-15,0.0491
2020-01-16,1.3255
2020-01-17,0.0
2020-01-21,-0.5814
2020-01-22,0.1949
2020-01-23,-0.4202
2020-01-24,-0.0664
2020-01-27,-0.2444
2020-01-28,-0.049
2020-01-29,0.0
