ticker,PONB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-02,0.0
2016-12-06,2.439
2017-01-10,5.9524
2017-02-02,3.5955
2017-02-09,0.2169
2017-02-10,0.0
2017-02-15,0.4329
2017-02-21,0.8621
2017-02-27,0.6838
2017-03-06,1.4431
2017-03-07,-0.2092
2017-03-08,1.0482
2017-03-31,-1.4523
2017-04-04,7.3684
2017-04-05,0.0
2017-04-06,-4.902
2017-04-07,0.0
2017-04-18,3.299
2017-04-19,-3.7923999999999998
2017-04-21,0.0
2017-04-26,1.0373
2017-05-16,0.0411
2017-05-17,2.2167
2017-05-18,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.8032
2017-06-06,0.0
2017-06-08,0.5976
2017-06-12,-0.5941
2017-06-22,0.3984
2017-06-29,-0.7937
2017-06-30,-1.0
2017-07-12,-1.0101
2017-07-17,2.2449
2017-08-07,-2.1955999999999998
2017-08-09,2.2449
2017-08-14,-0.1996
2017-08-31,-1.2
2017-09-05,0.0081
2017-09-06,3.2305
2017-09-08,1.9607999999999999
2017-09-14,0.0
2017-09-28,0.0
2017-10-18,0.0
2017-11-17,0.0
2017-11-30,0.7692
2017-12-01,0.0
2017-12-05,-0.7634
2017-12-07,3.8462
2017-12-18,1.8519
2017-12-20,5.4545
2017-12-28,2.5862
2018-01-09,-2.521
2018-01-11,1.7241
2018-01-16,2.3729
2018-01-17,0.596
2018-01-18,0.0
2018-01-19,1.8761999999999999
2018-01-22,2.7464
2018-01-23,0.0
2018-01-24,-4.8742
2018-01-25,0.6612
2018-01-29,-1.445
2018-01-30,0.2999
2018-01-31,2.9568
2018-02-01,-3.1946
2018-02-09,-1.6667
2018-02-14,0.5085
2018-02-21,1.855
2018-02-26,-0.6623
2018-03-21,3.2667
2018-03-28,-3.9703
2018-03-29,-2.1849
2018-04-03,0.1718
2018-04-10,-0.5146
2018-04-11,0.1724
2018-04-12,-0.1721
2018-04-17,0.8621
2018-04-18,0.0
2018-04-23,-0.8547
2018-04-25,1.7241
2018-04-27,5.0847
2018-05-10,-3.2258
2018-05-11,1.8333
2018-05-17,0.6547
2018-05-18,-0.9756
2018-05-30,0.6568
2018-06-04,0.1631
2018-06-06,-0.4886
2018-06-07,0.1637
2018-06-11,-1.4379
2018-06-18,-0.1658
2018-06-28,0.2989
2018-06-29,0.8278
2018-07-10,-0.4926
2018-07-11,0.6601
2018-07-12,0.1639
2018-07-27,4.7463
2018-08-02,-3.125
2018-08-03,0.0
