ticker,MVPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-30,2.1127
2006-12-01,3.4483
2006-12-04,-11.3333
2006-12-05,12.782
2006-12-06,-3.3333
2006-12-07,3.4483
2006-12-11,0.0
2006-12-12,-3.3333
2006-12-13,3.4483
2006-12-14,0.0
2006-12-15,0.0
2006-12-22,0.0
2006-12-28,-6.6667
2007-01-03,7.1429
2007-01-04,0.0
2007-01-05,-33.3333
2007-01-12,0.0
2007-01-16,25.0
2007-01-17,-20.0
2007-01-19,49.0
2007-01-22,0.6711
2007-01-23,16.6667
2007-01-24,-8.5714
2007-01-25,-6.25
2007-01-26,3.3333
2007-01-29,-3.2258
2007-01-30,13.3333
2007-01-31,-8.8235
2007-02-01,-3.2258
2007-02-05,3.3333
2007-02-06,-3.2258
2007-02-08,3.3333
2007-02-12,0.0
2007-02-13,0.0
2007-02-14,0.0
2007-02-15,-3.2258
2007-02-16,0.0
2007-02-23,0.0
2007-03-05,-6.6667
2007-03-13,14.2857
2007-03-14,0.0
2007-03-15,0.0
2007-03-16,-5.0
2007-03-28,-1.3158
2007-03-29,-6.6667
2007-04-03,0.0
2007-04-13,-3.5714
2007-04-16,0.0
2007-04-17,0.0
2007-04-19,-15.9259
2007-04-20,-6.6079
2007-04-23,0.0
2007-05-01,-10.3774
2007-05-02,-42.1053
2007-05-03,-7.2727
2007-05-04,56.8627
2007-05-07,-35.0
2007-05-23,82.6923
2007-05-24,0.0
2007-05-25,0.0
2007-05-29,0.0
2007-05-31,-5.2632
2007-06-04,2.2222
2007-06-06,-40.2174
2007-06-27,16.3636
2007-07-19,-14.0625
2007-07-26,0.0
2007-07-27,-1.8182
2007-08-01,-1.8519
2007-08-06,-43.3962
2007-08-08,0.0
2007-08-16,16.6667
2007-08-17,0.0
2007-08-20,0.0
2007-08-21,-14.2857
2007-08-22,16.6667
2007-08-23,0.0
2007-08-24,-14.2857
2007-08-28,0.0
2007-08-29,16.6667
2007-09-10,-14.2857
2007-09-11,-10.0
2007-09-12,0.0
2007-09-14,22.2222
2007-09-17,-21.2121
2007-09-18,0.0
2007-09-21,15.3846
2007-09-25,0.0
2007-09-26,0.0
2007-10-01,0.0
2007-10-02,-6.6667
2007-10-03,1.7856999999999998
2007-10-04,22.807
2007-10-05,-7.1429
2007-10-08,7.6923
2007-10-09,-8.5714
2007-10-10,0.0
2007-10-11,-3.125
2007-10-12,25.8065
2007-10-15,2.5641
2007-10-16,12.5
2007-10-17,42.2222
2007-10-18,0.0
