ticker,TGSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-08,0.0
2018-10-08,500.0
2018-11-23,730.0
2018-11-29,30.522100000000002
2019-01-23,7.6923
2019-05-06,5.7143
2020-03-09,8.1081
