ticker,AGNC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-15,-3.25
2008-05-16,3.3075
2008-05-19,-2.4012000000000002
2008-05-20,-0.8201
2008-05-21,-0.5168
2008-05-22,-1.2987
2008-05-23,0.2632
2008-05-27,0.2625
2008-05-28,0.7853
2008-05-29,2.3377
2008-05-30,0.0006
2008-06-02,-0.5082
2008-06-03,-2.7041
2008-06-04,0.1573
2008-06-05,1.2042
2008-06-06,-1.6037
2008-06-09,-0.1052
2008-06-10,-4.2105
2008-06-11,-5.7692
2008-06-12,0.4665
2008-06-13,-0.9867
2008-06-16,4.3376
2008-06-17,0.3933
2008-06-18,-4.6447
2008-06-19,-0.939
2008-06-20,-1.4809999999999999
2008-06-23,7.6368
2008-06-24,-0.7821
2008-06-25,0.2252
2008-06-26,-3.3146
2008-06-27,-0.5811
2008-06-30,-0.9351
2008-07-01,-1.4423
2008-07-02,1.5244
2008-07-03,-1.021
2008-07-07,-9.1019
2008-07-08,3.4713
2008-07-09,-4.0645
2008-07-10,-6.0525
2008-07-11,6.3708
2008-07-14,5.8546
2008-07-15,-6.3573
2008-07-16,2.5798
2008-07-17,3.5738
2008-07-18,-0.7668
2008-07-21,-0.4507
2008-07-22,2.0052
2008-07-23,0.9512
2008-07-24,-3.0779
2008-07-25,-0.1944
2008-07-28,-2.5324999999999998
2008-07-29,4.6636
2008-07-30,-0.3183
2008-07-31,-0.1277
2008-08-01,1.7903
2008-08-04,-1.3819
2008-08-05,0.5732
2008-08-06,-0.95
2008-08-07,-1.8542
2008-08-08,7.4267
2008-08-11,1.5161
2008-08-12,-0.3584
2008-08-13,-0.1799
2008-08-14,0.8408
2008-08-15,-0.4765
2008-08-18,0.0
2008-08-19,-0.0598
2008-08-20,2.3952
2008-08-21,2.1053
2008-08-22,3.7228
2008-08-25,-2.4848
2008-08-26,-0.7928
2008-08-27,3.8813
2008-08-28,2.967
2008-08-29,1.1206
2008-09-02,-1.6359
2008-09-03,-0.6438
2008-09-04,-0.9719
2008-09-05,1.5267
2008-09-08,7.4114
2008-09-09,-5.5
2008-09-10,1.2698
2008-09-11,-0.9927
2008-09-12,3.8522
2008-09-15,-7.1646
2008-09-16,2.3536
2008-09-17,-10.3209
2008-09-18,6.3208
2008-09-19,4.7672
2008-09-22,-2.8373
2008-09-23,7.3829
2008-09-24,0.2052
2008-09-25,-1.5361
2008-09-26,-2.3039
2008-09-29,-10.9489
2008-09-30,9.2055
2008-10-01,-2.7714
2008-10-02,-2.7316000000000003
