ticker,SBKO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-18,-1.3158
2006-12-28,1.3333
2007-01-09,5.2632
2007-02-21,5.0
2007-04-11,-4.7619
2007-04-18,1.25
2007-04-30,0.0
2007-05-04,-1.2346
2007-05-09,0.0
2007-05-18,0.0
2007-06-29,-5.0
2007-07-03,-2.6316
2007-07-20,-2.7027
2007-07-24,-2.7778
2007-07-25,-1.4285999999999999
2007-08-14,-10.1449
2007-09-05,12.9032
2007-10-02,-4.2857
2007-10-03,4.4776
2007-10-09,-5.7143
2007-10-11,0.6061
2007-10-12,2.4096
2007-10-16,-5.8824
2007-11-08,3.4375
2007-11-16,-0.3021
2007-11-21,-0.9091
2007-11-27,0.6116
2007-11-28,-2.7356
2007-12-12,0.0
2007-12-27,-0.3125
2008-02-21,0.0
2008-02-22,-2.8213
2008-02-25,-1.6129
2008-03-10,4.5902
2008-03-12,-5.0157
2008-03-28,-0.33
2008-04-02,-0.6623
2008-04-08,-6.3333
2008-05-09,3.2028
2008-06-02,-17.2414
2008-06-04,4.1667
2008-06-05,9.6
2008-06-06,-8.7591
2008-06-09,-2.4
2008-06-11,2.0492
2008-06-13,-5.6225000000000005
2008-06-17,0.0
2008-06-18,-6.383
2008-06-19,-0.9091
2008-06-20,-26.6055
2008-06-23,21.875
2008-06-25,0.0
2008-06-27,2.6667
2008-07-01,-0.0999
2008-07-02,-2.5
2008-09-19,64.1026
2008-09-24,-6.25
2008-09-25,3.3333
2008-10-10,-29.0323
2008-10-14,18.1818
2008-10-31,-30.7692
2008-11-07,11.1111
2008-12-01,0.0
2008-12-02,-5.0
2008-12-03,0.0
2008-12-22,2.6316
2009-01-15,-12.8205
2009-01-20,-11.6471
2009-01-23,-6.6578
2009-02-23,28.388
2009-03-03,0.1111
2009-03-13,5.4384
2009-03-19,2.6316
2009-03-24,-7.6923
2009-03-26,22.2222
2009-03-30,-9.0909
2009-05-20,-7.5
2009-06-11,-2.7027
2009-06-12,0.0
2009-06-16,0.0
2009-07-21,5.5556
2009-07-22,0.0
2009-07-23,2.6316
2009-07-31,0.0
2009-08-03,-2.5641
2009-08-14,0.0
2009-08-19,0.0
2009-09-03,0.0
2009-09-04,2.6316
2009-09-09,0.1026
2009-09-14,-0.1025
2009-09-21,0.0
2009-09-23,5.1282
2009-09-24,0.4878
2009-09-25,1.9417
2009-10-23,0.0
2009-10-26,-6.6667
2009-10-27,-0.5102
2009-10-28,-3.0769
2009-11-02,0.5291
2009-11-06,-5.2632
