ticker,OBAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.2553
2000-01-04,-10.3704
2000-01-05,2.0661
2000-01-06,-7.6923
2000-01-07,-1.7544
2000-01-10,5.3571
2000-01-11,-5.2966
2000-01-12,-4.4743
2000-01-13,-0.7026
2000-01-14,2.3585
2000-01-18,11.0599
2000-01-19,4.5643
2000-01-20,8.7302
2000-01-21,16.0584
2000-01-24,3.1447
2000-01-25,-19.9695
2000-01-26,-14.6667
2000-01-27,3.5714
2000-01-28,3.4483
2000-01-31,-4.5833
2000-02-01,-1.5284
2000-02-02,-0.4435
2000-02-03,8.686
2000-02-04,4.918
2000-02-07,3.125
2000-02-08,-3.0303
2000-02-09,-6.25
2000-02-10,6.25
2000-02-11,-1.1764999999999999
2000-02-14,-0.7937
2000-02-15,-2.0
2000-02-16,2.0408
2000-02-17,-2.4
2000-02-18,1.6393
2000-02-22,16.129
2000-02-23,-2.7778
2000-02-24,-1.0714
2000-02-25,-2.5271
2000-02-28,0.7407
2000-02-29,3.3088
2000-03-01,17.7936
2000-03-02,1.2085
2000-03-03,-7.4627
2000-03-06,2.5806
2000-03-07,0.6289
2000-03-08,3.125
2000-03-09,-8.9394
2000-03-10,-1.4975
2000-03-13,-4.0541
2000-03-14,-0.5282
2000-03-15,4.7788
2000-03-16,-8.1081
2000-03-17,-4.4118
2000-03-20,-8.8462
2000-03-21,-4.2194
2000-03-22,5.2313
2000-03-23,7.5877
2000-03-24,0.7782
2000-03-27,-2.3166
2000-03-28,-6.1265
2000-03-29,-6.5263
2000-03-30,-17.1171
2000-03-31,3.2609
2000-04-03,-7.6316
2000-04-04,-12.2507
2000-04-05,-3.2468
2000-04-06,15.4362
2000-04-07,4.6512
2000-04-10,-8.8889
2000-04-11,-2.439
2000-04-12,-7.1875
2000-04-13,-2.3569
2000-04-14,-18.6207
2000-04-17,11.8644
2000-04-18,15.9091
2000-04-19,-11.7647
2000-04-20,-1.1111
2000-04-24,-2.2472
2000-04-25,3.4483
2000-04-26,3.7037
2000-04-27,0.0
2000-04-28,8.2143
2000-05-01,17.1617
2000-05-02,-7.0423
2000-05-03,-3.6364
2000-05-04,-1.8868
2000-05-05,1.9231
2000-05-08,-2.5157
2000-05-09,-10.0
2000-05-10,-9.6774
2000-05-11,7.1429
2000-05-12,-0.7407
2000-05-15,0.3731
2000-05-16,5.5762
2000-05-17,-1.4085
2000-05-18,-0.7143
2000-05-19,-2.518
2000-05-22,-5.5351
2000-05-23,-4.2969
