ticker,FRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-10-13,262.4079
2000-10-19,0.0
2000-10-25,6.7797
2001-02-22,-7.4286
2001-02-23,6.3786
2001-02-26,5.4803
2001-02-27,-1.5892
2001-02-28,1.0559
2001-03-01,-4.6712
2001-03-02,0.0
2001-03-05,3.675
2001-03-19,1.1194
2001-03-20,0.0
2001-03-22,2.706
2001-03-23,0.0
2001-04-06,6.1463
2001-04-09,0.2373
2001-04-18,9.0599
2001-04-20,1.7004000000000001
2001-04-30,2.4004
2001-05-02,-8.2473
2001-05-07,1.2610000000000001
2001-05-31,8.2667
2001-06-20,-10.3448
2001-07-05,-3.1391
2001-08-06,-15.195
2001-08-07,-2.3411
2001-08-08,-2.3973
2001-08-09,-1.4035
2001-08-10,1.3523
2001-08-13,7.0927
2001-08-14,0.459
2001-08-15,-4.8303
2001-08-16,1.5089000000000001
2001-08-17,-3.0405
2001-08-20,-5.6446
2001-08-21,6.3516
2001-08-22,8.2143
2001-08-23,-1.3201
2001-08-24,2.3411
2001-08-27,0.0
2001-08-28,-3.268
2001-08-29,-0.7432
2001-08-30,-4.0163
2001-08-31,-1.4184
2001-09-04,-0.7194
2001-09-05,1.8841
2001-09-06,0.7112
2001-09-07,-0.4237
2001-09-10,-2.8369
2001-09-17,-7.2993
2001-09-18,-3.5433
2001-09-19,-7.3469
2001-09-20,-8.8106
2001-09-21,-13.5266
2001-09-24,7.2626
2001-09-25,-0.5208
2001-09-26,-4.5026
2001-09-27,-1.4254
2001-09-28,1.2236
2001-10-01,1.6484
2001-10-02,-0.2162
2001-10-03,-4.117
2001-10-04,-1.4689
2001-10-05,-0.8028
2001-10-08,2.8902
2001-10-09,-5.0562
2001-10-10,6.6272
2001-10-11,1.1099
2001-10-12,-2.6345
2001-10-15,-2.4803
2001-10-16,-8.4393
2001-10-17,2.2727
2001-10-18,-6.5432
2001-10-19,-0.2642
2001-10-22,0.6623
2001-10-23,5.3947
2001-10-24,1.7478
2001-10-25,-6.7485
2001-10-26,3.9474
2001-10-29,-1.2658
2001-10-30,-1.4102999999999999
2001-10-31,-1.4304000000000001
2001-11-01,2.1108
2001-11-02,-3.1008
2001-11-05,-3.3333
2001-11-06,-4.8276
2001-11-07,-2.3188
2001-11-08,3.1157
2001-11-09,0.5755
2001-11-12,-2.0029
2001-11-13,10.9489
2001-11-14,-3.2895
2001-11-15,-2.8571
2001-11-16,15.1261
2001-11-19,-3.8929
2001-11-20,-1.5385
2001-11-21,-2.3437
