ticker,BTCY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,1.8868
2016-02-24,0.0
2016-02-25,-1.8519
2016-02-26,3.7736
2016-02-29,5.4545
2016-03-01,0.0
2016-03-02,3.4483
2016-03-03,-1.6667
2016-03-07,2.0339
2016-03-09,-0.3322
2016-03-10,-0.3333
2016-03-11,-8.0268
2016-03-15,-1.8182
2016-03-16,-5.5556
2016-03-18,0.0
2016-03-21,5.8824
2016-03-22,20.3704
2016-03-23,-13.8462
2016-03-24,0.0
2016-03-28,1.0714
2016-03-29,-4.5936
2016-03-30,-8.1481
2016-03-31,0.0
2016-04-04,7.6613
2016-04-05,-14.7191
2016-04-06,1.4493
2016-04-07,-13.8961
2016-04-08,20.6637
2016-04-11,8.3333
2016-04-12,-18.8462
2016-04-13,-3.7915
2016-04-14,8.3744
2016-04-15,-6.3636
2016-04-18,-13.4951
2016-04-19,3.8159
2016-04-20,-2.7027
2016-04-21,5.0
2016-04-22,3.1746
2016-04-25,2.0513
2016-04-26,0.5025
2016-04-27,7.5
2016-04-28,16.2791
2016-04-29,8.88
2016-05-02,-0.8082
2016-05-03,1.1111
2016-05-04,0.7326
2016-05-06,0.0
2016-05-10,-9.0909
2016-05-11,-18.44
2016-05-12,7.896
2016-05-13,2.2727
2016-05-16,-3.6444
2016-05-17,1.0148
2016-05-18,-0.5479
2016-05-19,5.6015
2016-05-24,-19.5652
2016-05-25,7.5676
2016-05-26,0.5025
2016-06-01,-0.5
2016-06-02,-7.0352
2016-06-03,-24.3243
2016-06-06,35.0
2016-06-07,26.9841
2016-06-08,4.1667
2016-06-09,0.0
2016-06-10,-20.0
2016-06-13,-62.0
2016-06-14,96.0526
2016-06-15,34.2282
2016-06-20,6.5
2016-06-21,-0.4695
2016-06-22,0.0
2016-06-23,-2.7447
2016-06-24,4.2772
2016-06-27,-0.4651
2016-06-28,0.4673
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-06,2.3256
2016-07-07,-2.2727
2016-07-08,2.3256
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,1.8182
2016-07-14,0.4464
2016-07-15,0.0
2016-07-18,10.7028
2016-07-19,6.391
2016-07-20,13.2075
2016-07-21,-0.3333
2016-07-22,0.3344
2016-07-25,-16.6667
2016-07-26,10.0
2016-07-27,9.0909
2016-07-28,1.6667
2016-07-29,-25.9016
2016-08-01,35.8186
2016-08-02,-2.2641999999999998
2016-08-03,0.0
