ticker,WNEB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-12-28,33.4
2001-12-31,0.2249
2002-01-02,-2.169
2002-01-03,1.2232
2002-01-04,-0.6798
2002-01-07,0.6844
2002-01-08,0.0755
2002-01-09,0.2264
2002-01-10,0.0753
2002-01-11,0.8277
2002-01-14,0.7463
2002-01-15,0.3704
2002-01-16,-0.2214
2002-01-17,0.5178
2002-01-18,-0.3679
2002-01-22,-0.3693
2002-01-23,0.0741
2002-01-24,0.5926
2002-01-25,0.1473
2002-01-28,-0.3676
2002-01-29,-0.5166
2002-01-30,0.4451
2002-01-31,-0.4431
2002-02-01,1.4837
2002-02-04,1.2427
2002-02-05,-0.0722
2002-02-06,1.1561
2002-02-07,1.1429
2002-02-08,3.1073
2002-02-11,-0.2055
2002-02-12,-0.2059
2002-02-13,0.0688
2002-02-14,1.7182
2002-02-15,0.5405
2002-02-19,-0.9409
2002-02-20,-1.7639
2002-02-21,0.4834
2002-02-22,1.3058
2002-02-25,-0.2714
2002-02-27,-0.1361
2002-02-28,-0.8856
2002-03-01,-1.0997
2002-03-04,0.0695
2002-03-05,-1.3889
2002-03-06,0.7042
2002-03-07,0.3497
2002-03-08,-0.6969
2002-03-11,0.2105
2002-03-12,0.9804
2002-03-13,0.208
2002-03-14,-0.346
2002-03-15,0.6944
2002-03-18,0.6897
2002-03-19,0.6849
2002-03-20,0.0
2002-03-21,0.0
2002-03-22,1.2925
2002-03-25,-1.0074
2002-03-26,0.5427
2002-03-27,-0.8097
2002-03-28,0.4762
2002-04-01,-0.5416
2002-04-02,-0.6127
2002-04-03,0.3425
2002-04-04,0.8874
2002-04-05,2.5034
2002-04-08,1.6502
2002-04-09,0.1299
2002-04-10,0.1946
2002-04-11,0.974
2002-04-12,0.4502
2002-04-15,-1.0883
2002-04-16,1.8123
2002-04-17,0.1271
2002-04-18,-0.3175
2002-04-19,2.8662
2002-04-22,0.1858
2002-04-24,-2.3486000000000002
2002-04-25,0.6329
2002-04-26,0.6289
2002-04-29,-0.625
2002-04-30,-0.8176
2002-05-01,0.5073
2002-05-02,-0.0631
2002-05-03,0.0631
2002-05-06,0.0
2002-05-07,0.4416
2002-05-08,0.5025
2002-05-09,0.3125
2002-05-10,-0.4984
2002-05-13,-0.4383
2002-05-14,0.0
2002-05-15,-0.1258
2002-05-16,0.1259
2002-05-17,1.8868
2002-05-20,-1.2346
2002-05-21,-0.625
2002-05-22,-0.6289
2002-05-23,-1.2658
2002-05-24,0.641
