ticker,EVTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-12,2.2
2013-04-15,-2.0059
2013-04-16,2.5462
2013-04-17,-3.6513999999999998
2013-04-18,-1.2633
2013-04-19,6.6530000000000005
2013-04-22,-3.8388
2013-04-23,-0.3992
2013-04-24,0.0501
2013-04-25,-0.5008
2013-04-26,-1.3588
2013-04-29,1.7347000000000001
2013-04-30,0.5517
2013-05-01,0.4489
2013-05-02,-0.149
2013-05-03,2.188
2013-05-06,-1.4599
2013-05-07,-0.0494
2013-05-08,0.0494
2013-05-09,-0.4444
2013-05-10,-0.744
2013-05-13,-1.0995
2013-05-14,0.4042
2013-05-15,-0.151
2013-05-16,-0.8569
2013-05-17,0.6609
2013-05-20,0.6566
2013-05-21,1.4049
2013-05-22,-0.8906
2013-05-23,-0.1498
2013-05-24,-0.05
2013-05-28,-0.4502
2013-05-29,-0.9045
2013-05-30,0.1521
2013-05-31,1.3671
2013-06-03,0.4496
2013-06-04,0.9448
2013-06-05,-0.936
2013-06-06,-0.1492
2013-06-07,0.4482
2013-06-10,0.2479
2013-06-11,1.7804
2013-06-12,0.1458
2013-06-13,3.2994
2013-06-14,2.7713
2013-06-17,0.2742
2013-06-18,1.3218
2013-06-19,0.7647
2013-06-20,-0.3125
2013-06-21,-3.4483
2013-06-24,-2.551
2013-06-25,2.3322
2013-06-26,1.5349
2013-06-27,0.3665
2013-06-28,0.2738
2013-07-01,1.2288999999999999
2013-07-02,-1.0342
2013-07-03,0.2272
2013-07-05,2.4025
2013-07-08,0.0885
2013-07-09,3.4497999999999998
2013-07-10,1.3254000000000001
2013-07-11,0.4219
2013-07-12,0.1261
2013-07-15,-0.3777
2013-07-16,0.2527
2013-07-17,-0.2521
2013-07-18,1.0531
2013-07-19,0.1667
2013-07-22,1.7478
2013-07-23,-0.2454
2013-07-24,1.681
2013-07-25,0.4032
2013-07-26,-1.5663
2013-07-29,-1.5912
2013-07-30,-0.1244
2013-07-31,-0.7887
2013-08-01,1.046
2013-08-02,-0.4969
2013-08-05,4.0366
2013-08-06,-0.96
2013-08-07,0.4039
2013-08-08,-1.0459
2013-08-09,-1.5854
2013-08-12,0.7022
2013-08-13,1.9278
2013-08-14,0.0
2013-08-15,-1.6499000000000001
2013-08-16,1.1504
2013-08-19,0.2843
2013-08-20,0.0405
2013-08-21,0.081
2013-08-22,0.1618
2013-08-23,-1.0501
2013-08-26,3.2653
2013-08-27,-3.1621
2013-08-28,-2.3673
2013-08-29,1.1706
