ticker,HMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-2.6316
2000-01-05,2.7027
2000-01-10,0.0
2000-01-12,-2.6316
2000-01-14,5.4054
2000-01-18,5.1282
2000-01-19,-1.2195
2000-01-24,-1.2346
2000-01-26,5.0
2000-01-28,-1.1905000000000001
2000-01-31,3.6145
2000-02-01,2.3256
2000-02-02,0.0
2000-02-11,-18.1818
2000-02-14,11.1111
2000-02-15,0.0
2000-02-18,10.0
2000-02-22,2.2727
2000-02-23,0.0
2000-02-25,-4.4444
2000-02-28,2.3256
2000-03-01,-13.6364
2000-03-02,2.6316
2000-03-06,19.2308
2000-03-07,4.3011
2000-03-08,-1.0309
2000-03-09,-2.0833
2000-03-10,4.2553
2000-03-14,-1.0204
2000-03-15,5.1546
2000-03-16,19.6078
2000-03-17,-1.6393
2000-03-20,0.0
2000-03-21,-1.6667
2000-03-22,-3.3898
2000-03-23,1.7544
2000-03-27,-1.7241
2000-03-28,-5.2632
2000-03-29,5.5556
2000-03-30,1.7544
2000-03-31,10.3448
2000-04-03,-4.6875
2000-04-04,-1.6393
2000-04-05,-3.3333
2000-04-07,-1.7241
2000-04-10,0.0
2000-04-13,-1.7544
2000-04-14,-1.7856999999999998
2000-04-18,1.8182
2000-04-26,-5.3571
2000-04-28,0.0
2000-05-01,0.0
2000-05-10,-1.8868
2000-05-12,3.8462
2000-05-15,1.8519
2000-05-16,5.4545
2000-05-17,-3.4483
2000-06-15,-1.7856999999999998
2000-06-27,-3.6364
2000-06-29,3.7736
2000-06-30,0.0
2000-07-07,1.8182
2000-07-11,3.5714
2000-07-12,1.7241
2000-07-14,-1.6949
2000-07-17,1.7241
2000-07-18,-1.6949
2000-07-19,-2.5862
2000-07-20,2.6549
2000-07-24,1.7241
2000-07-25,3.3898
2000-08-03,-1.6393
2000-08-07,0.0
2000-08-14,5.0
2000-08-18,-1.5873
2000-08-21,3.2258
2000-08-22,0.7813
2000-08-23,11.6279
2000-08-24,-2.7778
2000-08-25,1.4285999999999999
2000-08-28,-0.7042
2000-08-30,0.0
2000-08-31,2.8369
2000-09-01,-2.069
2000-09-06,0.0
2000-09-08,1.4085
2000-09-11,-2.7778
2000-09-20,-6.4516
2000-09-22,1.7241
2000-09-25,3.3898
2000-09-28,-1.6393
2000-10-05,0.0
2000-10-06,6.6667
2000-10-09,0.0
2000-10-12,0.0
2000-10-13,1.5625
2000-10-20,-0.7692
2000-10-23,8.5271
2000-10-24,5.7143
2000-10-25,2.7027
