ticker,TA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-30,-2.0715
2007-01-31,-13.3295
2007-02-01,-2.0395
2007-02-02,0.4437
2007-02-05,10.4655
2007-02-06,-0.0308
2007-02-07,-1.0769
2007-02-08,8.8025
2007-02-09,2.916
2007-02-12,3.4722
2007-02-13,6.0403
2007-02-14,2.2785
2007-02-15,-0.8663
2007-02-16,-0.1498
2007-02-20,-1.8505
2007-02-21,0.0
2007-02-22,-1.7325
2007-02-23,1.063
2007-02-26,-1.3597000000000001
2007-02-27,-3.7971
2007-02-28,-1.8654
2007-03-01,-1.7631000000000001
2007-03-02,0.5328
2007-03-05,-2.371
2007-03-06,0.0
2007-03-07,-1.4285999999999999
2007-03-08,4.9275
2007-03-09,0.2762
2007-03-12,3.0854
2007-03-13,-1.5232
2007-03-14,0.597
2007-03-15,-1.8074
2007-03-16,1.2363
2007-03-19,-0.2714
2007-03-20,-0.1361
2007-03-21,2.2888
2007-03-22,-0.7725
2007-03-23,0.4027
2007-03-26,1.0963
2007-03-27,-1.8778000000000001
2007-03-28,1.0782
2007-03-29,0.6133
2007-03-30,1.8288
2007-04-02,3.9823
2007-04-03,0.6508
2007-04-04,0.6715
2007-04-05,-0.8152
2007-04-09,1.2453
2007-04-10,-0.123
2007-04-11,0.0985
2007-04-12,-0.0738
2007-04-13,-0.0246
2007-04-16,0.2463
2007-04-17,3.1941
2007-04-18,2.5
2007-04-19,2.1835
2007-04-20,2.4096
2007-04-23,-0.111
2007-04-24,-1.3556
2007-04-25,-0.9687
2007-04-26,-0.5005
2007-04-27,1.2574
2007-04-30,-0.0677
2007-05-01,-1.1522999999999999
2007-05-02,0.32
2007-05-03,-0.2051
2007-05-04,0.6849
2007-05-07,-0.4989
2007-05-08,0.0456
2007-05-09,-0.2506
2007-05-10,-0.0228
2007-05-11,-2.6496
2007-05-14,-1.4313
2007-05-15,-1.0712
2007-05-16,-3.1521
2007-05-17,-0.646
2007-05-18,0.3751
2007-05-21,0.3986
2007-05-22,-1.3896
2007-05-23,0.151
2007-05-24,-1.3819
2007-05-25,1.2739
2007-05-29,0.3774
2007-05-30,0.2506
2007-05-31,9.875
2007-06-01,4.5961
2007-06-04,0.8266
2007-06-05,-0.7551
2007-06-06,0.2609
2007-06-07,-0.4337
2007-06-08,-1.3502
2007-06-11,0.883
2007-06-12,-0.5689
2007-06-13,1.1224
2007-06-14,1.197
2007-06-15,1.6129
2007-06-18,-3.4497
2007-06-19,-2.8935
2007-06-20,0.4515
