ticker,AMKR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.885
2000-01-04,-8.114
2000-01-05,2.6253
2000-01-06,-8.1395
2000-01-07,1.5190000000000001
2000-01-10,7.2318999999999996
2000-01-11,5.5814
2000-01-12,10.1322
2000-01-13,3.4
2000-01-14,-7.1567
2000-01-18,4.1667
2000-01-19,0.8
2000-01-20,5.5556
2000-01-21,8.6466
2000-01-24,1.0381
2000-01-25,-4.6233
2000-01-26,3.5907
2000-01-27,-1.9064
2000-01-28,-5.6537
2000-01-31,-4.8689
2000-02-01,15.9449
2000-02-02,8.1494
2000-02-03,2.6688
2000-02-04,5.8104
2000-02-07,3.9017
2000-02-08,-5.9805
2000-02-09,-1.4793
2000-02-10,4.8048
2000-02-11,2.5788
2000-02-14,9.2179
2000-02-15,-2.046
2000-02-16,-1.436
2000-02-17,-2.7152
2000-02-18,-0.0681
2000-02-22,3.2698
2000-02-23,0.2639
2000-02-24,-3.8158
2000-02-25,-6.4295
2000-02-28,4.6784
2000-02-29,16.0615
2000-03-01,4.2118
2000-03-02,-2.194
2000-03-03,5.549
2000-03-06,-3.2438
2000-03-07,-1.7341
2000-03-08,-7.5294
2000-03-09,2.799
2000-03-10,0.495
2000-03-13,11.9458
2000-03-14,0.33
2000-03-15,-12.0614
2000-03-16,-6.1097
2000-03-17,6.2417
2000-03-20,5.25
2000-03-21,4.8694
2000-03-22,8.2673
2000-03-23,8.0544
2000-03-24,-3.1946
2000-03-27,0.4
2000-03-28,-5.2789
2000-03-29,-3.9958
2000-03-30,-13.253
2000-03-31,7.197
2000-04-03,-13.3098
2000-04-04,5.4348
2000-04-05,-3.0928
2000-04-06,19.1489
2000-04-07,7.2266
2000-04-10,-4.5537
2000-04-11,-0.1091
2000-04-12,-8.1878
2000-04-13,0.8323
2000-04-14,-13.0896
2000-04-17,10.1764
2000-04-18,10.3448
2000-04-19,4.6875
2000-04-20,-0.533
2000-04-24,-5.895
2000-04-25,0.3417
2000-04-26,-4.3133
2000-04-27,9.6085
2000-04-28,5.9524
2000-05-01,-1.8386
2000-05-02,2.6015
2000-05-03,-3.144
2000-05-04,1.466
2000-05-05,-14.5511
2000-05-08,-11.9565
2000-05-09,-6.0357
2000-05-10,-11.9708
2000-05-11,12.7695
2000-05-12,4.4118
2000-05-15,-3.8028
2000-05-16,3.8067
2000-05-17,-4.7955
2000-05-18,2.963
2000-05-19,-4.4604
2000-05-22,-6.0241
2000-05-23,-2.8846
2000-05-24,8.2508
