ticker,CRL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-23,37.5
2000-06-26,-0.5682
2000-06-27,-1.4285999999999999
2000-06-28,0.0
2000-06-29,-1.7391
2000-06-30,4.7198
2000-07-03,0.0
2000-07-05,1.1268
2000-07-06,5.8496
2000-07-07,-0.5263
2000-07-10,4.7619
2000-07-11,2.0202
2000-07-12,-1.4851
2000-07-13,5.5276
2000-07-14,-7.619
2000-07-17,-2.3196
2000-07-18,4.4855
2000-07-19,0.5051
2000-07-20,-1.2563
2000-07-21,-1.5267
2000-07-24,5.4264
2000-07-25,-2.6961
2000-07-26,9.8237
2000-07-27,3.6696999999999997
2000-07-28,-2.4336
2000-07-31,9.5238
2000-08-01,-5.5901
2000-08-02,-1.0965
2000-08-03,7.7605
2000-08-04,-1.6461000000000001
2000-08-07,10.4603
2000-08-08,0.1894
2000-08-09,-4.1588
2000-08-10,-3.3531
2000-08-11,-4.0816
2000-08-14,-4.8936
2000-08-15,-5.5928
2000-08-16,-2.1327
2000-08-17,0.0
2000-08-18,1.6949
2000-08-21,-2.8571
2000-08-22,3.4314
2000-08-23,5.9242
2000-08-24,0.2237
2000-08-25,-1.5625
2000-08-28,1.3605
2000-08-29,-0.2237
2000-08-30,-1.3453
2000-08-31,-0.2273
2000-09-01,0.9112
2000-09-05,-0.9029
2000-09-06,0.2278
2000-09-07,-0.9091
2000-09-08,-2.2936
2000-09-11,0.7042
2000-09-12,-1.3986
2000-09-13,-1.6548
2000-09-14,-0.7212
2000-09-15,-3.632
2000-09-18,-7.5377
2000-09-19,-6.5217
2000-09-20,2.6163
2000-09-21,1.983
2000-09-22,2.2222
2000-09-25,16.3043
2000-09-26,6.7757
2000-09-27,3.5011
2000-09-28,7.3996
2000-09-29,7.0866
2000-10-02,-7.1691
2000-10-03,-1.3860999999999999
2000-10-04,-6.8273
2000-10-05,-3.8792999999999997
2000-10-06,-3.8117
2000-10-09,-2.5641
2000-10-10,-4.3062000000000005
2000-10-11,-2.25
2000-10-12,-1.7903
2000-10-13,0.5208
2000-10-16,7.513
2000-10-17,-2.1687
2000-10-18,6.8966
2000-10-19,-3.4562
2000-10-20,4.0573
2000-10-23,0.2294
2000-10-24,-2.746
2000-10-25,-0.2353
2000-10-26,-1.8868
2000-10-27,-1.9231
2000-10-30,-0.9804
2000-10-31,3.9604
2000-11-01,-2.8571
2000-11-02,-3.9215999999999998
2000-11-03,-0.5102
2000-11-06,-2.5641
2000-11-07,-1.5789
