ticker,VTNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-07,200.0
2005-01-10,28.3333
2005-01-11,3.8961
2005-01-12,0.0
2005-01-13,-12.5
2005-01-14,14.2857
2005-01-18,0.0
2005-01-20,-6.25
2005-01-21,4.0
2005-01-26,2.5641
2005-01-27,0.0
2005-02-01,0.0
2005-02-02,6.25
2005-02-03,0.0
2005-02-04,0.0
2005-02-07,-5.8824
2005-02-08,-25.0
2005-02-09,16.6667
2005-02-10,2.8571
2005-02-11,2.7778
2005-02-14,-1.3514
2005-02-15,0.0
2005-02-16,2.7397
2005-02-17,6.6667
2005-02-22,6.25
2005-02-23,0.0
2005-02-25,17.647100000000002
2005-02-28,0.0
2005-03-02,10.0
2005-03-03,-4.5455
2005-03-04,1.9048
2005-03-07,12.1495
2005-03-08,1.6667
2005-03-09,-13.9344
2005-03-10,0.9524
2005-03-11,0.0
2005-03-14,3.7736
2005-03-15,4.7273
2005-03-16,-11.4583
2005-03-17,-0.9804
2005-03-18,3.9604
2005-03-21,-0.9524
2005-03-22,-2.8846
2005-03-23,1.9802
2005-03-24,1.9417
2005-03-28,0.9524
2005-03-29,1.8868
2005-03-30,-0.9259
2005-03-31,2.8037
2005-04-01,0.0
2005-04-04,-8.1818
2005-04-05,3.9604
2005-04-07,0.0
2005-04-08,2.8571
2005-04-11,-6.4815
2005-04-12,6.9307
2005-04-13,2.7778
2005-04-14,-4.5045
2005-04-15,-5.6604
2005-04-18,2.0
2005-04-19,-2.9412000000000003
2005-04-20,1.0101
2005-04-21,1.5
2005-04-22,-1.4778
2005-04-25,0.0
2005-04-26,1.0
2005-04-27,-1.9802
2005-04-28,0.0
2005-04-29,2.0202
2005-05-02,-5.9406
2005-05-03,5.2632
2005-05-04,-1.0
2005-05-05,2.0202
2005-05-06,3.9604
2005-05-09,0.0
2005-05-10,-4.7619
2005-05-11,-3.0
2005-05-13,-6.1856
2005-05-16,-4.3956
2005-05-17,-2.2989
2005-05-18,0.0
2005-05-19,2.3529
2005-05-20,3.4483
2005-05-24,-11.1111
2005-05-25,-6.25
2005-05-31,6.6667
2005-06-03,0.0
2005-06-06,-8.75
2005-06-08,1.3699
2005-06-09,1.3514
2005-06-10,0.0
2005-06-15,6.6667
2005-06-16,-18.75
2005-06-17,15.3846
2005-06-22,-6.6667
2005-06-24,-14.2857
2005-06-27,8.3333
2005-06-28,-4.6154
2005-07-05,-11.2903
2005-07-06,-3.6364
2005-07-07,13.2075
2005-07-11,-6.6667
