ticker,GO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-20,29.5909
2019-06-21,0.3157
2019-06-24,4.8601
2019-06-25,2.3341
2019-06-26,7.4617
2019-06-27,-0.8187
2019-06-28,0.5197
2019-07-01,0.6691
2019-07-02,-0.3021
2019-07-03,0.6061
2019-07-05,-0.512
2019-07-08,-2.3615
2019-07-09,1.3333
2019-07-10,0.1224
2019-07-11,1.2530999999999999
2019-07-12,2.0525
2019-07-15,4.6436
2019-07-16,-1.6111
2019-07-17,1.8386
2019-07-18,1.1848
2019-07-19,4.9624
2019-07-22,4.2497
2019-07-23,-6.1146
2019-07-24,4.0706
2019-07-25,-0.4954
2019-07-26,2.1751
2019-07-29,0.2052
2019-07-30,-1.3565
2019-07-31,1.0379
2019-08-01,-0.0257
2019-08-02,-0.4624
2019-08-05,-0.8
2019-08-06,-3.2258
2019-08-07,1.0753
2019-08-08,0.5851
2019-08-09,0.0529
2019-08-12,-0.7928
2019-08-13,0.1598
2019-08-14,5.0532
2019-08-15,10.7848
2019-08-16,6.5814
2019-08-19,-7.0969
2019-08-20,-0.8539
2019-08-21,-2.7467
2019-08-22,4.2604
2019-08-23,-4.1552
2019-08-26,2.515
2019-08-27,2.8270999999999997
2019-08-28,-3.2720000000000002
2019-08-29,-1.7618
2019-08-30,-3.2759
2019-09-03,-0.3708
2019-09-04,-0.5955
2019-09-05,0.0499
2019-09-06,-0.8483
2019-09-09,-6.8193
2019-09-10,-4.9149
2019-09-11,4.0897
2019-09-12,0.5457
2019-09-13,0.2985
2019-09-16,0.5141
2019-09-17,-1.1306
2019-09-18,0.3812
2019-09-19,1.4917
2019-09-20,1.7638
2019-09-23,2.2059
2019-09-24,-2.9034
2019-09-25,-4.9749
2019-09-26,-0.5569
2019-09-27,-3.7805
2019-09-30,0.9313
2019-10-01,-2.8547000000000002
2019-10-02,-2.0184
2019-10-03,2.7264
2019-10-04,0.2654
2019-10-07,-1.3235000000000001
2019-10-08,-2.2355
2019-10-09,0.1524
2019-10-10,-1.6743000000000001
2019-10-11,1.517
2019-10-14,2.3483
2019-10-15,0.3278
2019-10-16,-0.4752
2019-10-17,-0.0895
2019-10-18,-1.2246
2019-10-21,-0.9676
2019-10-22,-3.0229
2019-10-23,-2.5819
2019-10-24,0.6787
2019-10-25,1.1557
2019-10-28,-1.9359
2019-10-29,1.5534
2019-10-30,1.912
2019-10-31,-0.2502
2019-11-01,1.0031
2019-11-04,-1.3966
2019-11-05,0.0315
2019-11-06,-1.888
