ticker,ALPN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-17,6.5714
2015-06-18,-1.1394
2015-06-19,0.0
2015-06-22,0.8814
2015-06-23,-0.0672
2015-06-24,-0.6052
2015-06-25,0.2706
2015-06-26,1.1471
2015-06-29,0.0667
2015-06-30,1.0
2015-07-01,5.2145
2015-07-02,0.941
2015-07-06,-0.6837
2015-07-07,0.0
2015-07-08,-0.7509
2015-07-09,0.8197
2015-07-10,3.8148999999999997
2015-07-13,-1.1446
2015-07-14,1.1578
2015-07-15,-0.6627
2015-07-16,6.0643
2015-07-17,8.6907
2015-07-20,-4.6817
2015-07-21,0.1104
2015-07-22,1.2128
2015-07-23,-3.3224
2015-07-24,1.9718
2015-07-27,0.5525
2015-07-28,-1.8681
2015-07-29,-0.28
2015-07-30,-2.3021
2015-07-31,-2.4713
2015-08-03,-1.4732
2015-08-04,3.4689
2015-08-05,2.2543
2015-08-06,-0.3957
2015-08-07,0.5108
2015-08-10,-1.2422
2015-08-11,2.1727
2015-08-12,-3.0778
2015-08-13,-2.8291
2015-08-14,2.4361
2015-08-17,5.3944
2015-08-18,0.4953
2015-08-19,1.5333999999999999
2015-08-20,0.5933
2015-08-21,8.0965
2015-08-24,-12.8472
2015-08-25,-6.6022
2015-08-26,-6.1548
2015-08-27,0.3247
2015-08-28,-1.5534
2015-08-31,-4.405
2015-09-01,-0.8253
2015-09-02,0.0693
2015-09-03,-0.7623
2015-09-04,0.419
2015-09-08,-0.0695
2015-09-09,-0.0696
2015-09-10,2.3677
2015-09-11,3.9455999999999998
2015-09-14,2.8796
2015-09-15,1.972
2015-09-16,-2.5577
2015-09-17,15.3009
2015-09-18,-3.6090999999999998
2015-09-21,-1.9585
2015-09-22,-10.3995
2015-09-23,-5.082
2015-09-24,-3.0743
2015-09-25,-2.4947
2015-09-28,-6.8713
2015-09-29,0.157
2015-09-30,1.6458
2015-10-01,-3.8551
2015-10-02,-5.6135
2015-10-05,-2.8037
2015-10-06,-0.7867
2015-10-07,0.4405
2015-10-08,-11.8421
2015-10-09,-6.7661999999999995
2015-10-12,-10.4589
2015-10-13,1.6686999999999999
2015-10-14,-5.1583
2015-10-15,6.5513
2015-10-16,-3.7123
2015-10-19,0.1205
2015-10-20,-3.8508
2015-10-21,-2.7534
2015-10-22,2.8314
2015-10-23,1.7522
2015-10-26,-1.476
2015-10-27,0.1248
2015-10-28,2.8678
2015-10-29,-3.1515
2015-10-30,0.3755
2015-11-02,3.2419000000000002
