ticker,ARTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-15,100.0
2017-12-08,25.0
2017-12-11,-16.0
2017-12-21,-4.7619
2018-01-02,35.0
2018-01-03,18.5185
2018-01-04,0.0
2018-01-08,37.5
2018-01-09,13.6364
2018-01-10,8.0
2018-01-19,-18.5185
2018-01-29,-38.6364
2018-02-05,74.0741
2018-02-12,6.383
2018-02-16,-44.8
2018-03-09,-2.1739
2018-03-12,10.3704
2018-03-14,-32.8859
2018-03-19,0.0
2018-03-27,0.0
2018-04-09,5.0
2018-04-13,20.0
2018-04-17,0.0
2018-04-18,-4.7619
2018-04-19,-8.3333
2018-04-20,4.5455
2018-04-26,-22.7826
2018-04-27,18.2432
2018-05-11,6.6667
2018-05-14,-8.9286
2018-05-18,2.9412000000000003
2018-05-23,7.619
2018-05-24,10.6195
2018-05-30,0.0
2018-06-19,-4.0
2018-06-20,0.0
2018-06-22,5.8333
2018-07-05,0.0
2018-07-31,2.3622
2018-08-17,3.8462
2018-08-20,-3.7037
2018-09-07,0.0
2018-09-19,16.9231
2018-09-20,-14.473700000000001
2018-09-26,23.0769
2018-09-28,-6.875
2018-10-01,0.6711
2018-10-03,0.0
2018-10-05,-18.6667
2018-10-08,8.1967
2018-10-11,6.0606
2018-10-19,-7.1429
2018-10-22,-6.1538
2018-10-29,-1.6393
2018-10-30,0.0
2018-10-31,3.3333
2018-11-12,-7.2581
2018-11-15,-8.6957
2018-11-30,2.8571
2018-12-03,1.8519
2018-12-04,1.8182
2018-12-14,0.0
2018-12-19,5.3571
2018-12-21,-2.5423999999999998
2018-12-26,0.0
2018-12-31,0.0
2019-01-03,-1.7391
2019-01-04,-2.6549
2019-01-09,1.8182
2019-01-10,0.8929
2019-01-11,1.7699
2019-01-14,0.8696
2019-01-15,-0.8621
2019-01-18,-13.0435
2019-01-22,4.0
2019-01-29,-18.2788
2019-01-31,17.6609
2019-02-01,9.0
2019-02-05,-7.3394
2019-02-08,0.9901
2019-02-11,0.0
2019-02-12,0.0
2019-02-14,-0.9804
2019-02-25,5.9406
2019-02-28,12.1495
2019-03-01,0.0
2019-03-04,-12.5
2019-03-05,13.3333
2019-03-14,0.8403
2019-03-15,0.0
2019-03-19,-6.6667
2019-03-22,-1.7856999999999998
2019-03-25,1.8182
2019-03-26,-1.7856999999999998
2019-03-28,9.0909
2019-03-29,0.0
2019-04-02,0.0
2019-04-03,0.0
2019-04-05,2.5
2019-04-08,-2.439
2019-04-10,-8.3333
2019-04-11,0.0
