ticker,AXTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-12,6.4103
2014-11-13,3.6145
2014-11-14,2.2326
2014-11-17,1.5924
2014-11-18,-2.0152
2014-11-19,1.6453
2014-11-20,0.2248
2014-11-21,1.2113
2014-11-24,-0.6649
2014-11-25,2.5881
2014-11-26,-0.0435
2014-11-28,3.5683
2014-12-01,-0.2941
2014-12-02,2.8656
2014-12-03,3.0725
2014-12-04,-0.5167
2014-12-05,0.0
2014-12-08,-1.2385
2014-12-09,1.1731
2014-12-10,-1.2395
2014-12-11,6.8016
2014-12-12,-1.3268
2014-12-15,0.1537
2014-12-16,0.7672
2014-12-17,1.4846
2014-12-18,0.3376
2014-12-19,0.7103
2014-12-22,1.8931
2014-12-23,-1.6029
2014-12-24,-0.9996
2014-12-26,-0.4114
2014-12-29,0.4506
2014-12-30,-2.1308
2014-12-31,-0.6112
2015-01-02,0.8455
2015-01-05,1.6768
2015-01-06,3.8606
2015-01-07,-3.0675
2015-01-08,2.1593
2015-01-09,-1.895
2015-01-12,0.26
2015-01-13,2.4824
2015-01-14,-2.0246
2015-01-15,-2.4723
2015-01-16,1.7404
2015-01-20,-0.8925
2015-01-21,1.0882
2015-01-22,0.7053
2015-01-23,-0.7741
2015-01-26,-2.1174
2015-01-27,-2.0114
2015-01-28,-1.2781
2015-01-29,2.0008
2015-01-30,-1.2692
2015-02-02,-1.5192999999999999
2015-02-03,-0.4747
2015-02-04,0.0
2015-02-05,-0.3975
2015-02-06,0.5587
2015-02-09,-0.873
2015-02-10,0.04
2015-02-11,1.8808
2015-02-12,0.707
2015-02-13,-1.4821
2015-02-17,0.9105
2015-02-18,1.8046
2015-02-19,3.1985
2015-02-20,0.5601
2015-02-23,4.7158999999999995
2015-02-24,-0.5674
2015-02-25,0.535
2015-02-26,-1.0642
2015-02-27,1.8286
2015-03-02,-0.9507
2015-03-03,-2.3818
2015-03-04,-0.6555
2015-03-05,0.4032
2015-03-06,-0.3286
2015-03-09,1.7949000000000002
2015-03-10,-0.8636
2015-03-11,2.5408
2015-03-12,1.1327
2015-03-13,-0.315
2015-03-16,2.7037
2015-03-17,-4.7863
2015-03-18,2.4057
2015-03-19,-1.087
2015-03-20,-0.2481
2015-03-23,-0.995
2015-03-24,0.0718
2015-03-25,-1.1836
2015-03-26,-1.0889
2015-03-27,0.367
2015-03-30,-0.1097
2015-03-31,1.0981
2015-04-01,3.693
2015-04-02,-2.4791
2015-04-06,1.4322
2015-04-07,9.812899999999999
