ticker,NSSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-05,2.9412000000000003
2000-01-06,0.0
2000-01-07,4.7619
2000-01-10,3.6364
2000-01-11,1.7544
2000-01-12,-3.4483
2000-01-13,-7.1429
2000-01-14,-2.8846
2000-01-18,10.8911
2000-01-19,-3.5714
2000-01-20,-3.7037
2000-01-21,3.8462
2000-01-24,3.7037
2000-01-25,0.0
2000-01-26,-3.5714
2000-01-28,0.0
2000-01-31,-7.4074
2000-02-01,12.0
2000-02-02,-7.1429
2000-02-03,7.6923
2000-02-04,-3.5714
2000-02-07,3.7037
2000-02-09,0.0
2000-02-10,1.7856999999999998
2000-02-11,-5.2632
2000-02-14,1.8519
2000-02-15,-1.8182
2000-02-16,0.0
2000-02-17,1.8519
2000-02-18,-3.6364
2000-02-22,-1.8868
2000-02-25,-1.9231
2000-02-28,0.0
2000-02-29,-1.9607999999999999
2000-03-01,-2.0
2000-03-02,6.1224
2000-03-03,7.6923
2000-03-06,-8.9286
2000-03-07,-2.9412000000000003
2000-03-08,0.0
2000-03-09,13.1313
2000-03-10,7.1429
2000-03-13,10.0
2000-03-14,-9.0909
2000-03-15,0.0
2000-03-16,-6.6667
2000-03-17,7.1429
2000-03-20,-1.6667
2000-03-21,-5.0847
2000-03-22,0.0
2000-03-23,-3.5714
2000-03-24,3.7037
2000-03-27,3.5714
2000-03-28,0.8621
2000-03-29,-0.8547
2000-03-30,-10.3448
2000-04-03,1.9231
2000-04-04,-1.8868
2000-04-06,7.6923
2000-04-07,0.0
2000-04-10,0.0
2000-04-11,0.0
2000-04-12,1.7856999999999998
2000-04-13,-1.7544
2000-04-14,0.0
2000-04-17,-1.7856999999999998
2000-04-18,1.8182
2000-04-19,0.0
2000-04-20,0.0
2000-04-26,0.0
2000-04-27,-1.7856999999999998
2000-04-28,1.8182
2000-05-01,0.0
2000-05-02,-3.5714
2000-05-03,0.0
2000-05-04,-3.7037
2000-05-05,3.8462
2000-05-08,-3.7037
2000-05-09,1.9231
2000-05-10,-1.8868
2000-05-15,21.1538
2000-05-16,6.3492
2000-05-17,7.4627
2000-05-18,0.0
2000-05-19,-9.7222
2000-05-22,1.5385
2000-05-23,-3.0303
2000-05-24,-15.625
2000-05-26,9.2593
2000-05-30,-1.6949
2000-05-31,-1.7241
2000-06-01,0.0
2000-06-02,0.0
2000-06-05,1.7544
2000-06-06,-1.7241
2000-06-07,5.2632
2000-06-08,2.9167
2000-06-15,-0.8097
