ticker,RNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-12,58.3333
2020-06-15,1.4035
2020-06-16,3.1142
2020-06-17,-2.6846
2020-06-18,-6.9655000000000005
2020-06-19,11.4529
2020-06-22,4.7556
2020-06-23,-0.3175
2020-06-24,-8.4713
2020-06-25,-2.5747999999999998
2020-06-26,-4.9286
2020-06-29,1.5777999999999999
2020-06-30,4.5118
2020-07-01,-8.4572
2020-07-02,3.8655
2020-07-06,2.6795999999999998
2020-07-07,1.8485
2020-07-08,0.0356
2020-07-09,-3.0594
2020-07-10,-1.1376
2020-07-13,3.3407999999999998
2020-07-14,-2.227
2020-07-15,-3.1593999999999998
2020-07-16,-3.6798
2020-07-17,1.9693
2020-07-20,-9.8107
2020-07-21,2.6981
2020-07-22,-1.1259000000000001
2020-07-23,-0.1265
2020-07-24,0.2111
2020-07-27,5.5626
2020-07-28,13.9721
2020-07-29,-3.8529
2020-07-30,2.0401
2020-07-31,0.6426
