ticker,LSMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-07,100.0
2010-01-20,10.0
2010-01-26,21.2121
2010-03-17,-17.5
2010-04-20,-15.1515
2010-05-06,-46.4286
2010-05-10,100.0
2010-06-16,63.3333
2011-02-22,-59.1837
2011-02-23,0.0
2011-02-25,25.0
2011-04-15,0.0
2011-05-02,20.0
2011-07-11,-16.6667
2011-08-03,0.0
2011-08-18,0.0
2011-10-25,-40.0
2011-11-14,-33.3333
2012-02-14,0.0
2012-07-18,410.0
2012-07-23,-21.5686
2013-01-02,-32.5
2013-02-21,-25.9259
2013-03-28,20.0
2013-05-21,0.0
2013-08-22,-4.1667
2013-10-11,-13.0435
2013-10-15,0.0
2013-12-02,-45.0
2013-12-03,0.0
2013-12-05,-27.2727
2013-12-06,-12.5
2013-12-10,-28.5714
2014-01-08,-40.0
2014-02-10,300.0
2014-02-18,66.6667
2014-02-19,-5.0
2014-03-03,-10.526299999999999
2014-03-04,-11.7647
2014-03-18,0.0
2014-03-24,-33.3333
2014-03-28,-40.0
2014-04-14,0.0
2014-05-30,-33.3333
2014-06-10,-25.0
2014-06-13,400.0
2014-06-16,-30.0
2014-06-17,-4.7619
2014-06-18,25.0
2014-06-19,36.0
2014-06-20,-11.1765
2014-06-23,-27.1523
2014-06-24,27.2727
2014-06-25,-17.8571
2014-06-26,-4.3478
2014-06-27,-8.1818
2014-06-30,8.9109
2014-07-01,-18.1818
2014-07-02,22.2222
2014-07-03,0.0
2014-07-08,-9.0909
2014-07-09,-30.0
2014-07-11,28.5714
2014-07-15,-43.3333
2014-07-16,7.8431
2014-07-17,0.0
2014-07-21,63.6364
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,-11.1111
2014-07-25,0.0
2014-07-28,50.0
2014-07-29,-33.3333
2014-08-01,0.0
2014-08-05,0.0
2014-08-06,50.0
2014-08-11,-33.3333
2014-08-14,0.0
2014-08-18,56.25
2014-08-19,-60.0
2014-08-20,6.0
2014-08-25,-5.6604
2014-08-27,0.0
2014-08-29,60.0
2014-09-03,0.0
2014-09-04,-37.5
2014-09-05,0.25
2014-09-09,1.7456
2014-09-10,0.0
2014-09-11,0.0
2014-09-12,0.0
2014-09-15,0.0
2014-09-24,58.8235
2014-09-25,-12.3457
2014-09-26,19.7183
2014-09-29,-29.4118
2014-10-02,-16.6667
2014-10-03,0.0
2014-10-08,0.25
2014-10-09,-0.2494
2014-10-14,0.0
2014-10-16,-19.75
2014-10-21,146.729
2014-10-22,-59.4697
