ticker,QTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-09,0.0
2013-10-10,0.9048
2013-10-11,2.8787000000000003
2013-10-14,-0.9174
2013-10-15,0.7407
2013-10-16,-1.1949
2013-10-17,0.093
2013-10-18,-0.0929
2013-10-21,-0.5581
2013-10-22,1.029
2013-10-23,-0.2315
2013-10-24,-0.232
2013-10-25,-0.2791
2013-10-28,2.3321
2013-10-29,-0.4102
2013-10-30,-1.6476
2013-10-31,-0.0465
2013-11-01,-0.2328
2013-11-04,1.7266
2013-11-05,-1.1468
2013-11-06,-2.0882
2013-11-07,-5.1185
2013-11-08,-1.4985
2013-11-11,2.4848
2013-11-12,-2.2761
2013-11-13,1.3671
2013-11-14,-0.0999
2013-11-15,-0.35
2013-11-18,2.3583
2013-11-19,-0.2451
2013-11-20,-0.7862
2013-11-21,1.7335
2013-11-22,-0.0974
2013-11-25,0.2437
2013-11-26,-0.632
2013-11-27,0.1468
2013-11-29,1.7098
2013-12-02,-1.8732
2013-12-03,0.3426
2013-12-04,-0.1463
2013-12-05,0.1466
2013-12-06,2.0488
2013-12-09,0.2868
2013-12-10,0.6196
2013-12-11,0.9948
2013-12-12,-1.5009000000000001
2013-12-13,-0.8095
2013-12-16,-0.3841
2013-12-17,0.241
2013-12-18,0.1923
2013-12-19,1.6989999999999998
2013-12-20,4.0573
2013-12-23,5.2294
2013-12-24,2.1796
2013-12-26,3.4983
2013-12-27,-0.9068
2013-12-30,-1.5391
2013-12-31,4.6895
2014-01-02,-0.3632
2014-01-03,-0.486
2014-01-06,-0.2849
2014-01-07,5.8776
2014-01-08,-0.1542
2014-01-09,0.3861
2014-01-10,-1.2308
2014-01-13,0.1168
2014-01-14,-1.1280000000000001
2014-01-15,-1.8883
2014-01-16,0.401
2014-01-17,-0.9185
2014-01-21,0.2821
2014-01-22,-0.201
2014-01-23,-0.9263
2014-01-24,-3.3333
2014-01-27,-3.1539
2014-01-28,1.129
2014-01-29,-4.3366
2014-01-30,-0.1795
2014-01-31,2.0234
2014-02-03,-5.1124
2014-02-04,1.0683
2014-02-05,-3.125
2014-02-06,1.7078
2014-02-07,-0.1399
2014-02-10,1.7749000000000001
2014-02-11,4.2221
2014-02-12,-1.2770000000000001
2014-02-13,-0.1338
2014-02-14,0.0
2014-02-18,5.0022
2014-02-19,1.1484
2014-02-20,2.8175
2014-02-21,3.0266
2014-02-24,1.5878999999999999
2014-02-25,-2.3447
2014-02-26,2.1609
2014-02-27,-1.1751
2014-02-28,1.308
