ticker,GMVP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-25,12.5
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-11,5.5556
2017-10-12,3.1579
2017-10-13,-3.0612
2017-10-23,-15.7895
2017-10-27,18.75
2017-10-31,5.2632
2017-11-02,5.0
2017-11-03,-4.7619
2017-11-06,-15.0
2017-11-08,15.8824
2017-11-14,1.5228000000000002
2017-11-20,0.0
2017-11-21,0.0
2017-11-30,11.0
2017-12-01,0.9009
2017-12-04,2.6786
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,7.8261
2017-12-08,0.0
2017-12-11,-18.5484
2017-12-12,17.8218
2017-12-13,6.7227
2017-12-14,-5.5118
2017-12-15,4.1667
2017-12-18,4.0
2017-12-19,0.0
2017-12-20,0.7692
2017-12-21,-0.7634
2017-12-22,-7.6923
2017-12-26,-21.6667
2017-12-27,19.1489
2017-12-28,2.6786
2017-12-29,0.0
2018-01-02,0.0087
2018-01-03,-1.7477
2018-01-04,2.6549
2018-01-05,1.7241
2018-01-08,-5.9322
2018-01-09,5.4054
2018-01-10,0.0
2018-01-11,-6.8376
2018-01-12,-5.5046
2018-01-16,0.0
2018-01-17,-24.7573
2018-01-18,14.1806
2018-01-19,0.2938
2018-01-22,-14.2423
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,-14.5973
2018-01-26,36.9231
2018-01-29,-15.7528
2018-01-30,8.0288
2018-01-31,3.7037
2018-02-01,0.0
2018-02-02,10.7143
2018-02-05,-37.5269
2018-02-06,54.9053
2018-02-07,-2.2222
2018-02-08,-15.625
2018-02-09,22.5589
2018-02-12,8.7912
2018-02-13,0.0
2018-02-14,-2.0202
2018-02-15,3.0928
2018-02-16,-7.0
2018-02-20,16.129
2018-02-21,-7.4074
2018-02-22,-18.0
2018-02-23,1.2195
2018-02-26,-14.4578
2018-02-27,-3.5211
2018-02-28,-19.7226
2018-03-01,-7.2559000000000005
2018-03-02,0.1961
2018-03-05,10.5675
2018-03-06,-8.8496
2018-03-07,-3.8834999999999997
2018-03-08,29.2929
2018-03-09,-31.25
2018-03-12,6.8182
2018-03-13,4.2553
2018-03-14,-10.2041
2018-03-15,-6.8182
2018-03-16,0.0
2018-03-19,-2.439
2018-03-20,0.0
2018-03-21,4.975
2018-03-22,-11.8838
2018-03-23,-10.8108
2018-03-26,-6.0303
2018-03-27,-12.9313
