ticker,SQNS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-15,-17.5
2011-04-18,-3.5152
2011-04-19,4.8995
2011-04-20,-3.8323
2011-04-21,1.1208
2011-04-25,1.601
2011-04-26,0.2424
2011-04-27,2.7811
2011-04-28,13.8824
2011-04-29,5.9917
2011-05-02,-1.462
2011-05-03,-7.2206
2011-05-04,-2.1322
2011-05-05,8.8235
2011-05-06,0.2002
2011-05-09,1.2987
2011-05-10,-1.7751000000000001
2011-05-11,-1.9076
2011-05-12,-0.6141
2011-05-13,-4.5314
2011-05-16,-5.2859
2011-05-17,-1.7084000000000001
2011-05-18,-1.3905
2011-05-19,3.6428000000000003
2011-05-20,3.4013999999999998
2011-05-23,28.6184
2011-05-24,13.8107
2011-05-25,-9.3633
2011-05-26,12.9752
2011-05-27,11.9239
2011-05-31,25.2941
2011-06-01,-11.5806
2011-06-02,-0.236
2011-06-03,0.2365
2011-06-06,-12.5074
2011-06-07,-5.4619
2011-06-08,-1.2126000000000001
2011-06-09,-1.2995999999999999
2011-06-10,-8.5589
2011-06-13,8.48
2011-06-14,3.7611
2011-06-15,-0.995
2011-06-16,-6.0302
2011-06-17,-3.5141
2011-06-20,-2.7712
2011-06-21,5.7818000000000005
2011-06-22,-0.3079
2011-06-23,0.2317
2011-06-24,-1.5408
2011-06-27,-0.7042
2011-06-28,8.6682
2011-06-29,2.4656000000000002
2011-06-30,0.8493
2011-07-01,2.1053
2011-07-05,11.9588
2011-07-06,1.105
2011-07-07,0.6679
2011-07-08,-2.7141
2011-07-11,1.2399
2011-07-12,-2.4495
2011-07-13,-2.0088
2011-07-14,-6.6624
2011-07-15,1.2354
2011-07-18,-2.6441
2011-07-19,3.1337
2011-07-20,1.8231000000000002
2011-07-21,1.4588999999999999
2011-07-22,0.4575
2011-07-25,-2.7977
2011-07-26,-0.6024
2011-07-27,3.9057
2011-07-28,-44.5885
2011-07-29,-4.2105
2011-08-01,-5.3724
2011-08-02,-6.0645
2011-08-03,-5.7692
2011-08-04,0.5831
2011-08-05,3.3333
2011-08-08,-20.0561
2011-08-09,3.9715
2011-08-10,-1.2887
2011-08-11,3.7607
2011-08-12,2.1417
2011-08-15,12.9032
2011-08-16,-4.8571
2011-08-17,-5.7057
2011-08-18,-7.9618
2011-08-19,5.5363
2011-08-22,-6.5574
2011-08-23,1.7544
2011-08-24,-1.8965999999999998
2011-08-25,-0.1757
2011-08-26,-3.8731999999999998
2011-08-29,2.7473
2011-08-30,13.0125
