ticker,SKPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-04,0.0
2005-04-06,-31.0345
2005-04-07,-1.0909
2005-04-08,2.9412000000000003
2005-04-11,0.0
2005-04-12,5.3571
2005-04-13,1.1864
2005-04-14,0.5025
2005-04-15,5.0
2005-04-18,3.1746
2005-04-19,3.8462
2005-04-20,0.0
2005-04-21,5.1852
2005-04-22,-0.7042
2005-04-25,7.0922
2005-04-26,8.6093
2005-04-27,9.1463
2005-04-28,11.7318
2005-04-29,0.0
2005-05-02,7.0
2005-05-03,-2.5234
2005-05-04,1.6299000000000001
2005-05-05,-1.4151
2005-05-06,1.4354
2005-05-09,1.8868
2005-05-10,-1.3889
2005-05-11,-0.8451
2005-05-12,-0.0947
2005-05-13,-0.4739
2005-05-16,-0.4762
2005-05-17,0.6699
2005-05-18,-1.1407
2005-05-19,-0.4808
2005-05-20,0.0
2005-05-23,-0.4831
2005-05-24,-0.4854
2005-05-25,0.4878
2005-05-26,-0.9709
2005-05-27,0.9804
2005-05-31,-0.6796
2005-06-01,-1.2708
2005-06-02,-3.9604
2005-06-03,2.5773
2005-06-06,0.5025
2005-06-07,1.0
2005-06-08,-1.9802
2005-06-09,1.0101
2005-06-10,0.0
2005-06-13,0.0
2005-06-14,-5.0
2005-06-15,5.2632
2005-06-16,-1.0
2005-06-17,-0.5051
2005-06-20,3.0457
2005-06-21,-1.4778
2005-06-22,-2.0
2005-06-23,2.0408
2005-06-24,6.0
2005-06-27,2.8302
2005-06-28,0.9174
2005-06-29,-3.6364
2005-06-30,-5.1887
2005-07-01,0.4975
2005-07-05,3.9604
2005-07-06,-1.9048
2005-07-07,-1.9417
2005-07-08,-0.9901
2005-07-11,-2.0
2005-07-12,2.2449
2005-07-13,0.7984
2005-07-14,-0.9901
2005-07-15,0.0
2005-07-18,-1.0
2005-07-19,1.0101
2005-07-20,-1.0
2005-07-21,1.0101
2005-07-22,0.0
2005-07-25,1.0
2005-07-26,10.8911
2005-07-27,-2.6786
2005-07-28,9.1743
2005-07-29,-0.8403
2005-08-01,0.8475
2005-08-02,7.563
2005-08-03,8.5937
2005-08-04,-0.7194
2005-08-05,2.1739
2005-08-08,-1.4184
2005-08-09,-1.4388
2005-08-10,2.9196999999999997
2005-08-11,-4.2553
2005-08-12,11.1111
2005-08-15,0.0
2005-08-16,0.0
2005-08-17,-3.3333
2005-08-18,-2.7586
2005-08-19,-0.7092
2005-08-22,3.5714
2005-08-23,-3.4483
2005-08-24,-3.5714
