ticker,RMES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-10,0.0
2007-07-18,-30.0
2007-07-25,0.0
2007-07-27,0.0
2007-08-09,-22.8571
2007-08-28,29.6296
2007-08-30,0.0
2007-09-13,0.0
2007-09-20,-14.2857
2007-09-21,3.3333
2007-09-24,0.0
2007-09-26,-3.2258
2007-09-27,0.0
2007-10-01,-11.6667
2007-10-02,-5.6604
2007-10-03,0.0
2007-10-04,12.0
2007-10-11,3.5714
2007-10-12,37.931
2007-10-15,-25.0
2007-10-17,-10.0
2007-10-18,7.4074
2007-10-23,3.4483
2007-10-24,0.0
2007-10-25,-10.0
2007-10-31,11.1111
2007-11-07,0.0
2007-11-08,0.0
2007-11-20,-10.0
2007-12-04,-7.4074
2007-12-07,-20.0
2007-12-10,0.0
2007-12-14,0.0
2008-01-02,10.0
2008-01-17,9.0909
2008-01-28,8.3333
2008-02-05,-3.8462
2008-02-06,0.0
2008-02-11,12.0
2008-02-15,0.0
2008-02-19,7.1429
2008-02-20,0.0
2008-02-21,26.6667
2008-02-22,-7.8947
2008-02-26,-5.7143
2008-02-28,0.0
2008-03-03,6.0606
2008-03-05,-2.8571
2008-03-07,2.9412000000000003
2008-03-10,0.0
2008-03-11,-5.7143
2008-03-12,0.0
2008-03-13,3.0303
2008-03-18,8.8235
2008-03-19,-2.7027
2008-03-20,5.5556
2008-03-24,-7.8947
2008-03-25,5.7143
2008-03-26,8.1081
2008-03-27,-20.0
2008-03-28,-3.125
2008-03-31,20.9677
2008-04-01,-6.6667
2008-04-02,-14.2857
2008-04-04,22.6667
2008-04-07,-10.3261
2008-04-09,3.0303
2008-04-10,-11.7647
2008-04-11,16.6667
2008-04-14,-2.8571
2008-04-15,-2.9412000000000003
2008-04-16,3.0303
2008-04-17,2.9412000000000003
2008-04-18,-8.5714
2008-04-21,0.0
2008-04-22,0.0
2008-04-23,-6.25
2008-04-24,13.3333
2008-04-25,5.8824
2008-04-28,0.0
2008-04-29,-5.5556
2008-04-30,11.7647
2008-05-01,0.0
2008-05-02,5.2632
2008-05-05,0.0
2008-05-07,-12.5
2008-05-08,8.5714
2008-05-09,10.526299999999999
2008-05-12,-4.7619
2008-05-13,-12.5
2008-05-15,-8.5714
2008-05-19,20.3125
2008-05-20,-3.8961
2008-05-21,10.8108
2008-05-22,-2.439
2008-05-27,-7.5
2008-05-28,0.0
2008-05-29,-5.4054
2008-05-30,0.0
2008-06-02,5.7143
2008-06-03,-5.4054
2008-06-04,5.7143
