ticker,CHNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-27,15.3846
2019-06-28,-2.6667
2019-07-01,-1.3699
2019-07-02,0.6944
2019-07-03,2.6207000000000003
2019-07-05,0.336
2019-07-08,-1.0717
2019-07-09,0.2708
2019-07-10,-1.0804
2019-07-11,1.5017
2019-07-12,-0.2017
2019-07-15,-0.2695
2019-07-16,-3.5135
2019-07-17,-1.8908
2019-07-18,-2.7837
2019-07-19,-0.8811
2019-07-22,3.7037
2019-07-23,4.3571
2019-07-24,-2.6694
2019-07-25,0.4219
2019-07-26,1.4006
2019-07-29,-0.1381
2019-07-30,-2.9046
2019-07-31,-0.7835
2019-08-01,-2.7997
2019-08-02,-2.8064999999999998
2019-08-05,-0.152
2019-08-06,1.446
2019-08-07,-1.3503
2019-08-08,1.5209000000000001
2019-08-09,-1.1236
2019-08-12,-0.8333
2019-08-13,-7.7922
2019-08-14,9.0307
2019-08-15,7.1429
2019-08-16,4.4681
2019-08-19,3.1908
2019-08-20,-0.9211
2019-08-21,0.8632
2019-08-22,-6.3199
2019-08-23,1.1947
2019-08-26,-0.9028
2019-08-27,-4.4149
2019-08-28,1.0997
2019-08-29,1.9579
2019-08-30,-0.2134
2019-09-03,-1.5681
2019-09-04,0.0724
2019-09-05,-0.5065
2019-09-06,-5.5273
2019-09-09,-7.6982
2019-09-10,-4.0867
2019-09-11,7.3043
2019-09-12,7.9417
2019-09-13,2.6276
2019-09-16,0.1463
2019-09-17,-0.8766
2019-09-18,-5.8217
2019-09-19,0.5477
2019-09-20,3.035
2019-09-23,-0.5287
2019-09-24,-0.9112
2019-09-25,-3.7548
2019-09-26,-1.5127000000000002
2019-09-27,-4.7696
2019-09-30,2.5467
2019-10-01,0.8278
2019-10-02,-1.9704000000000002
2019-10-03,-1.4238
2019-10-04,3.1436
2019-10-07,-0.4119
2019-10-08,-1.0753
2019-10-09,1.1288
2019-10-10,4.8367
2019-10-11,0.3155
2019-10-14,-2.5943
2019-10-15,2.8249
2019-10-16,1.3344
2019-10-17,0.4648
2019-10-18,-2.0046
2019-10-21,2.3603
2019-10-22,-1.153
2019-10-23,0.5443
2019-10-24,0.9281
2019-10-25,-2.9885
2019-10-28,0.7109
2019-10-29,1.1764999999999999
2019-10-30,0.3876
2019-10-31,2.0849
2019-11-01,1.3616
2019-11-04,-3.3582
2019-11-05,-0.4633
2019-11-06,-1.3189
2019-11-07,0.2358
2019-11-08,2.5098000000000003
2019-11-11,0.9946
2019-11-12,-0.2273
