ticker,ARCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-14,24.7059
2011-04-15,0.7547
2011-04-18,7.2097
2011-04-19,7.9913
2011-04-20,-2.7901
2011-04-21,-1.5391
2011-04-25,-0.4647
2011-04-26,-2.8862
2011-04-27,-2.1416
2011-04-28,-1.2952
2011-04-29,-0.3167
2011-05-02,2.1335
2011-05-03,0.8444
2011-05-04,-0.1763
2011-05-05,-0.1766
2011-05-06,-2.5652
2011-05-09,2.0427
2011-05-10,-1.0676
2011-05-11,-1.9335
2011-05-12,-1.5131000000000001
2011-05-13,3.5846999999999998
2011-05-16,-1.573
2011-05-17,-0.6849
2011-05-18,2.7586
2011-05-19,-0.4474
2011-05-20,-1.0787
2011-05-23,-0.0454
2011-05-24,0.0455
2011-05-25,-0.4998
2011-05-26,3.516
2011-05-27,2.0732
2011-05-31,-1.6854
2011-06-01,-2.9011
2011-06-02,1.2675
2011-06-03,2.6822
2011-06-06,-1.3496000000000001
2011-06-07,2.1624
2011-06-08,-6.1339
2011-06-09,0.5522
2011-06-10,-2.3341
2011-06-13,-1.5464
2011-06-14,-1.0471
2011-06-15,-0.0014
2011-06-16,1.0613
2011-06-17,-3.8186
2011-06-20,1.4888
2011-06-21,3.4718999999999998
2011-06-22,-2.0321
2011-06-23,0.8683
2011-06-24,-0.7652
2011-06-27,-0.241
2011-06-28,2.657
2011-06-29,0.0
2011-06-30,-0.7529
2011-07-01,1.944
2011-07-05,1.4419
2011-07-06,0.9629
2011-07-07,1.9982
2011-07-08,-0.4898
2011-07-11,-1.745
2011-07-12,-1.0929
2011-07-13,-2.0258
2011-07-14,-1.3158
2011-07-15,-1.381
2011-07-18,-3.5249
2011-07-19,6.8068
2011-07-20,0.7498
2011-07-21,1.3488
2011-07-22,7.8476
2011-07-25,-0.1277
2011-07-26,0.1704
2011-07-27,-2.5946
2011-07-28,-0.8297
2011-07-29,3.3025
2011-08-01,0.2131
2011-08-02,6.8907
2011-08-03,1.0744
2011-08-04,-2.1654
2011-08-05,-2.4547
2011-08-08,-9.1172
2011-08-09,0.1816
2011-08-10,1.7218
2011-08-11,9.1314
2011-08-12,-0.7755
2011-08-15,1.3575
2011-08-16,1.2581
2011-08-17,4.2084
2011-08-18,-5.0385
2011-08-19,-5.1438
2011-08-22,4.2704
2011-08-23,0.7775
2011-08-24,1.1377
2011-08-25,-1.366
2011-08-26,-1.222
2011-08-29,6.3093
2011-08-30,4.5772
2011-08-31,2.2626
2011-09-01,-1.5596999999999999
