ticker,VMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.5019
2000-01-04,-0.7519
2000-01-05,-2.2727
2000-01-06,0.3876
2000-01-07,-0.3861
2000-01-10,2.3256
2000-01-11,3.0303
2000-01-12,-0.7353
2000-01-13,2.2222
2000-01-14,0.0
2000-01-18,0.7246
2000-01-19,0.0
2000-01-20,1.0791
2000-01-21,1.7793999999999999
2000-01-24,-0.5245
2000-01-25,1.9332
2000-01-26,7.5862
2000-01-27,0.0
2000-01-28,0.641
2000-01-31,-1.2739
2000-02-01,-2.2580999999999998
2000-02-02,0.33
2000-02-03,0.6579
2000-02-04,-0.3268
2000-02-07,0.3279
2000-02-08,-1.1438
2000-02-09,1.4876
2000-02-10,-2.9316
2000-02-11,-2.6846
2000-02-14,0.6897
2000-02-15,-4.1096
2000-02-16,-0.3571
2000-02-17,0.3584
2000-02-18,0.0
2000-02-22,0.0
2000-02-23,-1.0714
2000-02-24,-9.7473
2000-02-25,-3.2
2000-02-28,2.4793
2000-02-29,-2.4194
2000-03-01,4.5455
2000-03-02,0.1976
2000-03-03,0.9862
2000-03-06,-4.2969
2000-03-07,-0.4082
2000-03-08,-3.6885
2000-03-09,4.2553
2000-03-10,-2.0408
2000-03-13,0.0
2000-03-14,-2.0833
2000-03-15,9.3617
2000-03-16,4.2802
2000-03-17,-1.4925
2000-03-20,-4.1667
2000-03-21,8.3004
2000-03-22,-3.3759
2000-03-23,4.627
2000-03-24,0.0
2000-03-27,-4.6931
2000-03-28,-3.125
2000-03-29,-1.0596
2000-03-30,1.5873
2000-03-31,7.8125
2000-04-03,-5.0725
2000-04-04,-0.1908
2000-04-05,4.3977
2000-04-06,4.7619
2000-04-07,-0.6993
2000-04-10,1.0563
2000-04-11,-5.2265
2000-04-12,3.3088
2000-04-13,7.1174
2000-04-14,0.8306
2000-04-17,2.8007
2000-04-18,-1.2821
2000-04-19,0.0
2000-04-20,-0.6494
2000-04-24,0.9804
2000-04-25,2.589
2000-04-26,-1.5773000000000001
2000-04-27,0.3205
2000-04-28,1.5974
2000-05-01,0.0
2000-05-02,-0.9434
2000-05-03,-0.6349
2000-05-04,-0.9585
2000-05-05,1.6129
2000-05-08,0.3175
2000-05-09,0.9494
2000-05-10,-4.7022
2000-05-11,3.2895
2000-05-12,0.0
2000-05-15,-4.4586
2000-05-16,3.3333
2000-05-17,0.0
2000-05-18,0.0
2000-05-19,1.2903
2000-05-22,-0.9554
2000-05-23,0.9646
2000-05-24,0.0
