ticker,ALDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-25,75.0
2019-07-26,14.2857
2019-08-15,-25.0
2019-08-16,0.0
2019-08-19,16.6667
2019-08-23,-14.2857
2019-08-26,0.0
2019-08-27,-81.1667
2019-08-28,430.7965
2019-08-29,0.0
2019-09-03,-19.973300000000002
2019-09-13,-4.1667
2019-09-19,0.0
2019-09-26,-34.9783
2019-10-03,60.4146
2019-10-04,0.0
2019-10-07,-4.1267
2019-10-11,0.0
2019-10-24,-8.6957
2019-10-25,0.0
2019-10-30,0.0
2019-11-11,0.0
2019-11-25,0.0
2019-12-02,4.7619
2019-12-13,-4.5455
2019-12-16,0.0
2019-12-17,0.0
2020-01-06,-4.7619
2020-01-13,0.0
2020-01-24,0.0
2020-01-30,-25.0
2020-01-31,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-11,26.6667
2020-02-14,0.0
2020-02-18,0.0
2020-03-02,0.0
2020-03-06,0.0
2020-03-10,0.0
2020-03-12,0.0
2020-03-19,0.0
2020-03-20,-5.2632
2020-03-31,5.5556
2020-04-03,-15.7895
2020-04-06,18.75
2020-04-08,0.0
2020-04-13,0.0
2020-04-17,0.0
2020-04-23,-5.2632
2020-04-24,0.0
2020-04-28,2.4444
2020-05-05,3.0369
2020-05-11,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-21,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-08,-5.2632
2020-06-10,0.0
2020-06-11,5.5556
2020-06-16,0.0
2020-06-18,-5.2632
2020-06-19,0.0
2020-06-23,5.5556
2020-06-24,-5.2632
2020-06-30,0.0
2020-07-06,0.0
2020-07-10,0.0
2020-07-16,0.0
2020-07-22,0.0
2020-07-23,5.5556
2020-07-28,0.0
